code,claim_insurance_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,COMMERCIAL_HMO,7736,8486,1.1,1569910.0,202.94
99308,COMMERCIAL_HMO,2621,2897,1.11,405580.0,154.74
99310,COMMERCIAL_HMO,792,841,1.06,227070.0,286.7
99306,COMMERCIAL_HMO,465,505,1.09,166650.0,358.39
99316,COMMERCIAL_HMO,240,258,1.08,54180.0,225.75
99497,COMMERCIAL_HMO,92,103,1.12,16995.0,184.73
99349,COMMERCIAL_HMO,81,81,1.0,20655.0,255.0
99315,COMMERCIAL_HMO,73,79,1.08,11455.0,156.92
99305,COMMERCIAL_HMO,50,58,1.16,15080.0,301.6
99307,COMMERCIAL_HMO,46,48,1.04,4320.0,93.91
99350,COMMERCIAL_HMO,27,29,1.07,10295.0,381.3
99348,COMMERCIAL_HMO,23,25,1.09,4250.0,184.78
G8510,COMMERCIAL_HMO,16,16,1.0,0.16,0.01
G0444,COMMERCIAL_HMO,14,17,1.21,595.0,42.5
90471,COMMERCIAL_HMO,7,7,1.0,245.0,35.0
69209,COMMERCIAL_HMO,7,7,1.0,210.0,30.0
99407,COMMERCIAL_HMO,3,3,1.0,180.0,60.0
99406,COMMERCIAL_HMO,2,2,1.0,70.0,35.0
93793,COMMERCIAL_HMO,2,2,1.0,50.0,25.0
G0317,COMMERCIAL_HMO,1,1,1.0,65.0,65.0
69210,COMMERCIAL_HMO,1,1,1.0,100.0,100.0
G9717,COMMERCIAL_HMO,1,1,1.0,0.01,0.01
99380,COMMERCIAL_HMO,1,1,1.0,250.0,250.0
G8433,COMMERCIAL_HMO,1,1,1.0,0.01,0.01
G8431,COMMERCIAL_HMO,1,1,1.0,40.0,40.0
G0439,COMMERCIAL_HMO,1,1,1.0,265.0,265.0
11730,COMMERCIAL_HMO,1,1,1.0,240.0,240.0
99309,MEDICAID,894,894,1.0,165390.0,185.0
99308,MEDICAID,196,196,1.0,27440.0,140.0
99310,MEDICAID,87,87,1.0,23490.0,270.0
99306,MEDICAID,29,29,1.0,9570.0,330.0
99316,MEDICAID,12,12,1.0,2520.0,210.0
99307,MEDICAID,6,6,1.0,540.0,90.0
99497,MEDICAID,6,6,1.0,990.0,165.0
99315,MEDICAID,4,4,1.0,580.0,145.0
99305,MEDICAID,3,3,1.0,780.0,260.0
G9717,MEDICAID,2,2,1.0,0.02,0.01
G8510,MEDICAID,1,1,1.0,0.01,0.01
99348,MEDICAID,1,1,1.0,170.0,170.0
99407,MEDICAID,1,1,1.0,60.0,60.0
99309,BLUE_CROSS_BLUE_SHIELD,2246,2267,1.01,419395.0,186.73
99308,BLUE_CROSS_BLUE_SHIELD,815,818,1.0,114520.0,140.52
99310,BLUE_CROSS_BLUE_SHIELD,219,223,1.02,60210.0,274.93
99306,BLUE_CROSS_BLUE_SHIELD,158,160,1.01,52800.0,334.18
99316,BLUE_CROSS_BLUE_SHIELD,84,86,1.02,18060.0,215.0
