code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,AARP,521,521,1.0,96385.0,185.0
99308,AARP,155,155,1.0,21700.0,140.0
99310,AARP,49,49,1.0,13230.0,270.0
99306,AARP,27,27,1.0,8910.0,330.0
99316,AARP,21,21,1.0,4405.0,209.76
99349,AARP,21,21,1.0,5355.0,255.0
99497,AARP,9,9,1.0,1485.0,165.0
99348,AARP,9,9,1.0,1530.0,170.0
99305,AARP,8,8,1.0,2080.0,260.0
99350,AARP,7,7,1.0,2485.0,355.0
99315,AARP,6,6,1.0,870.0,145.0
G8510,AARP,6,6,1.0,0.06,0.01
99307,AARP,2,2,1.0,180.0,90.0
99406,AARP,1,1,1.0,35.0,35.0
20610,AARP,1,1,1.0,135.0,135.0
G8431,AARP,1,1,1.0,40.0,40.0
99309,AETNA BETTER HEALTH OF VIRGINIA,532,683,1.28,126355.0,237.51
99308,AETNA BETTER HEALTH OF VIRGINIA,272,345,1.27,48300.0,177.57
99310,AETNA BETTER HEALTH OF VIRGINIA,38,50,1.32,13500.0,355.26
99306,AETNA BETTER HEALTH OF VIRGINIA,34,42,1.24,13860.0,407.65
99305,AETNA BETTER HEALTH OF VIRGINIA,12,15,1.25,3900.0,325.0
99315,AETNA BETTER HEALTH OF VIRGINIA,7,10,1.43,1450.0,207.14
99307,AETNA BETTER HEALTH OF VIRGINIA,6,6,1.0,540.0,90.0
99316,AETNA BETTER HEALTH OF VIRGINIA,4,4,1.0,840.0,210.0
99497,AETNA BETTER HEALTH OF VIRGINIA,3,3,1.0,495.0,165.0
99308,AETNA - GOLDEN MEDICARE (MEDICARE ADVANTAGE PLAN),1,1,1.0,140.0,140.0
99309,AETNA - GOLDEN MEDICARE (MEDICARE ADVANTAGE PLAN),1,1,1.0,185.0,185.0
99310,AETNA - GOLDEN MEDICARE (MEDICARE ADVANTAGE PLAN),1,1,1.0,270.0,270.0
99309,AETNA - PPO,399,406,1.02,75110.0,188.25
99308,AETNA - PPO,174,177,1.02,24780.0,142.41
99310,AETNA - PPO,56,57,1.02,15390.0,274.82
99306,AETNA - PPO,20,20,1.0,6600.0,330.0
99316,AETNA - PPO,14,14,1.0,2940.0,210.0
99315,AETNA - PPO,9,9,1.0,1305.0,145.0
99349,AETNA - PPO,8,8,1.0,2040.0,255.0
99497,AETNA - PPO,5,5,1.0,825.0,165.0
99305,AETNA - PPO,4,4,1.0,1040.0,260.0
99307,AETNA - PPO,4,4,1.0,360.0,90.0
99348,AETNA - PPO,2,2,1.0,340.0,170.0
99350,AETNA - PPO,1,1,1.0,355.0,355.0
G0444,AETNA - PPO,1,1,1.0,35.0,35.0
99304,AETNA - PPO,1,1,1.0,180.0,180.0
99309,AETNA SSI,185,185,1.0,34225.0,185.0
99308,AETNA SSI,70,70,1.0,9800.0,140.0
99310,AETNA SSI,17,17,1.0,4590.0,270.0
99349,AETNA SSI,12,12,1.0,3060.0,255.0
99316,AETNA SSI,10,10,1.0,2100.0,210.0
99306,AETNA SSI,10,10,1.0,3300.0,330.0
99305,AETNA SSI,7,7,1.0,1820.0,260.0
99497,AETNA SSI,4,4,1.0,660.0,165.0
99350,AETNA SSI,4,4,1.0,1420.0,355.0
99348,AETNA SSI,4,4,1.0,680.0,170.0
99315,AETNA SSI,2,2,1.0,290.0,145.0
G0444,AETNA SSI,1,1,1.0,35.0,35.0
G8431,AETNA SSI,1,1,1.0,40.0,40.0
99309,ALIGNMENT HEALTH CARE,5,5,1.0,925.0,185.0
99308,ALIGNMENT HEALTH CARE,3,3,1.0,420.0,140.0
