insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
VIRGINIA MEDICARE,5588,5667,1.01,1054445.48,188.7
UNITED HEALTHCARE,3472,3527,1.02,655400.08,188.77
HUMANA,2444,2477,1.01,472105.13,193.17
NORTH CAROLINA MEDICARE,1971,2009,1.02,383195.0,194.42
VIRGINIA BLUE SHIELD,1921,1966,1.02,363650.12,189.3
NORTH CAROLINA MEDICAID,1314,1317,1.0,243525.0,185.33
ANTHEM BLUE CROSS,1187,1195,1.01,225120.02,189.65
UNITED HEALTHCARE COMMUNITY PLAN,911,920,1.01,168790.01,185.28
AETNA BETTER HEALTH OF VIRGINIA,905,1158,1.28,209240.0,231.2
AARP,828,844,1.02,158825.06,191.82
VIRGINIA MEDICAID,775,783,1.01,145630.02,187.91
AETNA - PPO,692,709,1.02,131300.0,189.74
UNITEDHEALTHCARE MEDICARE COMPLETE,642,649,1.01,126910.0,197.68
OPTIMA HEALTH PLANS,590,594,1.01,107280.0,181.83
NORTH CAROLINA BLUE SHIELD,581,605,1.04,118545.0,204.04
MUTUAL OF OMAHA,526,535,1.02,100980.03,191.98
SENTARA HEALTH MANAGEMENT,402,411,1.02,77050.07,191.67
TRICARE FOR LIFE,399,408,1.02,77800.0,194.99
AETNA SSI,321,327,1.02,62020.0,193.21
MOLINA COMPLETE CARE OF VIRGINIA,209,209,1.0,37205.0,178.01
OPTIMA FAMILY CARE,208,209,1.0,36155.0,173.82
LIFEWORKS ADVANTAGE (ISNP PLAN),199,201,1.01,34935.0,175.55
LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,137,140,1.02,25995.02,189.74
MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,125,126,1.01,22230.01,177.84
CHAMPVA - HAC,124,125,1.01,23770.0,191.69
GENERIC PAYER (AUTO-FORWARDED),120,121,1.01,22830.0,190.25
VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,91,92,1.01,18065.0,198.52
MEDICO INSURANCE COMPANY,78,78,1.0,15160.0,194.36
OPTUMCARE,76,76,1.0,14300.0,188.16
UNITEDHEALTHCARE,58,59,1.02,10735.0,185.09
CIGNA PPO,56,56,1.0,11315.0,202.05
CAREFIRST ADMINISTRATORS / NCAS,53,53,1.0,9660.0,182.26
NF-STATE FARM & PI ONLY,47,48,1.02,9385.01,199.68
UNITED AMERICAN INSURANCE COMPANY,44,45,1.02,8090.01,183.86
HEALTHTEAM ADVANTAGE,44,44,1.0,8555.0,194.43
RETIRED RAILROAD MEDICARE,39,39,1.0,7710.0,197.69
ILLUMIFIN CORPORATION,38,39,1.03,7400.01,194.74
UMR FKA UMR WAUSAU,28,29,1.04,5780.0,206.43
MANHATTANLIFE INSURANCE & ANNUITY COMPANY,22,24,1.09,4755.0,216.14
GHI (GROUP HEALTH INC.),21,21,1.0,3820.0,181.9
HEALTHY BLUE NORTH CAROLINA,21,21,1.0,3970.0,189.05
ANTHEM HEALTHKEEPERS PLUS,19,19,1.0,3525.0,185.53
HORIZON BLUE SHIELD OF NEW JERSEY,18,18,1.0,3175.0,176.39
UB-BANKERS LIFE AND CASUALTY,17,17,1.0,3380.0,198.82
TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,16,16,1.0,3400.0,212.5
MICHIGAN BLUE SHIELD,16,17,1.06,3140.0,196.25
OHIO BLUE SHIELD,16,17,1.06,2855.0,178.44
NATIONAL ASSOCIATION OF LETTER CARRIERS,15,16,1.07,3120.01,208.0
TRICARE EAST (DOS 1/1/2025 and after),15,16,1.07,3030.01,202.0
EVERENCE,15,17,1.13,3050.01,203.33
"WELLCARE NORTH CAROLINA, INC",14,14,1.0,2930.0,209.29
GLOBE LIFE INSURANCE CO OF NEW YORK,13,13,1.0,2430.0,186.92
UNRECOGNIZED INSURANCE,13,13,1.0,2490.0,191.54
GREAT SOUTHERN LIFE (MEDICARE SUPP),13,13,1.0,2435.0,187.31
BANKERS LIFE AND CASUALTY,13,13,1.0,2645.0,203.46
AMERICAN REPUBLIC INSURANCE (MAP),12,12,1.0,1930.0,160.83
WELLCARE HEALTH PLAN,12,12,1.0,2215.0,184.58
SILAC INSURANCE,11,11,1.0,2000.0,181.82
BUILDERS MUTUAL WC,11,11,1.0,2220.0,201.82
EAST CAROLINA BEHAVIORAL HEALTH,11,11,1.0,1890.0,171.82
APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,10,10,1.0,1760.0,176.0
TENNESSEE BLUECARE,10,10,1.0,1900.0,190.0
UMWA HEALTH AND RETIREMENT FUNDS,9,10,1.11,1975.0,219.44
ALIGNMENT HEALTH CARE,9,9,1.0,1490.0,165.56
INDIANA BLUE SHIELD,8,9,1.13,1505.01,188.13
HEALTHKEEPERS INC.,8,8,1.0,1345.0,168.13
GREEK CATHOLIC UNION,7,7,1.0,1270.0,181.43
FLORIDA MEDICAID,7,7,1.0,1295.0,185.0
DEVOTED HEALTH,7,7,1.0,1350.0,192.86
TRILLIUM COMMUNITY HEALTH PLAN,7,7,1.0,985.0,140.71
UNIFIED LIFE INSURANCE COMPANY,7,7,1.0,1205.0,172.14
ALIGN SENIOR CARE OF VIRGINIA,7,7,1.0,1250.0,178.57
COLONIAL PENN LIFE INSURANCE COMPANY,6,6,1.0,1205.0,200.83
"CHCS SERVICES, INC.",6,6,1.0,1065.0,177.5
TRICARE - WEST REGION,4,4,1.0,555.0,138.75
GEORGIA BLUE SHIELD,4,4,1.0,970.0,242.5
CLEAR SPRING HEALTH,4,4,1.0,695.0,173.75
PRINCIPAL LIFE MEDICARE SUPPLEMENT,4,4,1.0,565.0,141.25
CIGNA HEALTHSPRING,4,4,1.0,740.0,185.0
SEAFARERS & HEALTH BENEFITS PLAN,4,4,1.0,925.0,231.25
CAROLINA COMPLETE HEALTH CARE,3,3,1.0,510.0,170.0
CARE IMPROVEMENT PLUS SOUTH CENTRAL INS. CO.,3,3,1.0,595.0,198.33
PIPELINE INDUSTRY BENEFIT FUND - PAPER,3,3,1.0,630.0,210.0
