facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,13780.0,73,73,1.0,188.77
AHOSKIE HEALTH AND REHAB,MEDICAID,15890.0,83,83,1.0,191.45
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,920.0,5,5,1.0,184.0
AHOSKIE HEALTH AND REHAB,MEDICARE,7460.0,40,40,1.0,186.5
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,78635.0,413,414,1.0,190.4
ALAMANCE HEALTH CARE CENTER,MEDICAID,18110.0,95,95,1.0,190.63
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,8870.0,46,46,1.0,192.83
ALAMANCE HEALTH CARE CENTER,MEDICARE,38125.0,201,201,1.0,189.68
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,14410.0,72,72,1.0,200.14
AMELIA HEALTH AND REHAB,MEDICAID,885.0,6,6,1.0,147.5
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,6380.0,31,32,1.03,205.81
AMELIA HEALTH AND REHAB,MEDICARE,22900.0,126,127,1.01,181.75
Autumn Care of Madison,COMMERCIAL_HMO,18680.0,129,129,1.0,144.81
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,10320.0,65,66,1.02,158.77
Autumn Care of Madison,MEDICARE,32825.0,218,219,1.0,150.57
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,7570.0,40,42,1.05,189.25
BEDFORD COUNTY NURSING HOME,BLUE_CROSS_BLUE_SHIELD,140.0,1,1,1.0,140.0
BEDFORD COUNTY NURSING HOME,MEDICARE,9790.0,50,51,1.02,195.8
BRANDON OAKS,COMMERCIAL_HMO,560.0,4,4,1.0,140.0
BRANDON OAKS ALF,MEDICARE,720.0,2,2,1.0,360.0
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,40775.0,228,228,1.0,178.84
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,11895.0,64,64,1.0,185.86
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,24680.0,140,140,1.0,176.29
Claiborne Health and Rehab ,COMMERCIAL_HMO,21625.0,122,125,1.02,177.25
Claiborne Health and Rehab ,MEDICARE,22940.0,127,127,1.0,180.63
Clarksville Health and Rehab,COMMERCIAL_HMO,10655.0,69,69,1.0,154.42
Clarksville Health and Rehab,BLUE_CROSS_BLUE_SHIELD,3355.0,21,21,1.0,159.76
Clarksville Health and Rehab,MEDICARE,8985.0,57,57,1.0,157.63
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,21725.0,122,125,1.02,178.07
Clayton Rehab and Healthcare Center,MEDICAID,2260.0,12,12,1.0,188.33
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,325.0,2,2,1.0,162.5
Clayton Rehab and Healthcare Center,MEDICARE,9645.0,57,57,1.0,169.21
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,12250.0,67,69,1.03,182.84
COURTLAND REHAB AND HEALTHCARE,MEDICAID,1260.0,7,7,1.0,180.0
