facility_name,total_insurance_payments,total_patient_paid,total_payments
AHOSKIE HEALTH AND REHAB,13855.19,0.0,13855.19
ALAMANCE HEALTH CARE CENTER,65394.5,0.0,65394.5
AMELIA HEALTH AND REHAB,23199.8,0.0,23199.8
Autumn Care of Madison,25734.14,179.7,25913.84
BEDFORD COUNTY NURSING HOME,7676.17,0.0,7676.17
BRANDON OAKS,138.25,0.0,138.25
BRANDON OAKS ALF,0.0,0.0,0.0
CHASE CITY HEALTH & REHAB CENTER,37354.45,185.68,37540.13
Claiborne Health and Rehab ,1648.31,0.0,1648.31
Clarksville Health and Rehab,2300.95,0.0,2300.95
Clayton Rehab and Healthcare Center,23037.68,0.0,23037.68
CONSULATE HEALTH CARE OF WOODSTOCK,549.24,0.0,549.24
COURTLAND REHAB AND HEALTHCARE,19817.86,0.0,19817.86
CURRITUCK HEALTH AND REHAB,742.58,0.0,742.58
DEER MEADOWS REHABILITATION,16189.19,26.06,16215.25
ELIZABETH CITY HEALTH AND REHAB,42970.02,21.87,42991.89
EMPORIA REHAB AND HEALTHCARE,14516.16,209.08,14725.24
GATES-ALF,0.0,0.0,0.0
GATES HEALTH AND REHAB,2482.46,0.0,2482.46
GUGGENHEIMER HEALTH AND REHAB,128.98,0.0,128.98
GUILFORD HEALTH CARE CENTER,69144.88,80.0,69224.88
HARMONY PARK AT WILSON,20471.26,38.02,20509.28
HERITAGE GREEN,3063.27,20.55,3083.82
HERITAGE HALL OF BLACKSBURG,30443.44,0.0,30443.44
HERTFORD REHABILITATION AND HC,7876.98,0.0,7876.98
HIGHLAND RIDGE REHAB,31980.0,72.61,32052.61
HOLLY MANOR,39771.08,21.45,39792.53
KENANSVILLE REHAB AND HEALTHCARE,17188.85,121.13,17309.98
LAUREL PARK REHAB,18202.2,0.0,18202.2
LEXINGTON HEALTH CARE CENTER,49324.97,0.0,49324.97
LIFE CARE CENTER OF NEW MARKET,37446.56,385.0,37831.56
MOUNTAIN LAUREL,26958.48,0.0,26958.48
NORTHERN NECK-ALF,1080.55,0.0,1080.55
NORTHERN NECK SENIOR CARE COMMUNITY,19570.25,59.76,19630.01
NOVA HEALTH AND REHAB CENTER,1904.53,0.0,1904.53
OAKWOOD MANOR,384.88,92.04,476.92
PEAK RESOURCES OUTER BANKS,24303.92,0.0,24303.92
Piedmont Health and Rehab,14102.0,0.0,14102.0
PINEY FOREST HEALTH AND REHAB,25905.95,149.7,26055.65
PULASKI HEALTH & REHAB,41471.42,190.0,41661.42
RADFORD HEALTH & REHAB,26058.55,128.45,26187.0
RIDGECREST MANOR NURSING AND REHAB,22385.73,0.0,22385.73
RIVERSIDE HEALTH AND REHAB,25600.43,0.0,25600.43
RUNK AND PRATT AT WILLOW RIDGE,635.23,0.0,635.23
RUNK & PRATT- FOREST,1539.51,102.74,1642.25
RUNK & PRATT-LEESVILLE,1655.48,49.61,1705.09
RUNK & PRATT- LIBERTY RIDGE,1096.46,0.0,1096.46
RUNK & PRATT- PEARL OF LIFE,1302.36,7.34,1309.7
RUNK & PRATT- SMITH MOUNTAIN LAKE,1782.83,65.91,1848.74
SALEM HEALTH & REHAB,73378.04,566.4,73944.44
SHENANDOAH VALLEY HEALTH,17076.04,189.88,17265.92
South Boston Health & Rehab,1187.55,0.0,1187.55
STANLEYTOWN HEALTH AND REHAB,46747.55,214.9,46962.45
SUMMIT HEALTH AND REHAB,3638.97,176.06,3815.03
The Rehab Center of Bristol,25903.35,0.0,25903.35
THREE RIVERS HEALTH & REHAB CENTER,15830.26,0.0,15830.26
VALLEY HEALTH CARE CENTER,31210.55,0.0,31210.55
WARSAW HEALTH AND REHAB,4261.26,0.0,4261.26
WATERVIEW HEALTH & REHAB CENTER,25095.05,18.28,25113.33
WAVERLY REHABILITATION,18995.39,0.0,18995.39
WESTMORELAND HEALTHCARE CENTER,19956.37,0.0,19956.37
WILSON HEALTHCARE AND REHAB,14802.46,287.1,15089.56
WINDSOR REHABILITATION,14761.51,177.88,14939.39
WOODLANDS HEALTH & REHAB,12983.8,265.81,13249.61
