facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,11960.0,60,60,1.0,199.33
AHOSKIE HEALTH AND REHAB,MEDICAID,2900.0,15,15,1.0,193.33
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,825.0,4,4,1.0,206.25
AHOSKIE HEALTH AND REHAB,MEDICARE,7040.0,37,37,1.0,190.27
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,86195.0,432,435,1.01,199.53
ALAMANCE HEALTH CARE CENTER,MEDICAID,4935.0,25,25,1.0,197.4
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,9385.0,50,50,1.0,187.7
ALAMANCE HEALTH CARE CENTER,MEDICARE,28615.0,153,153,1.0,187.03
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,18360.0,97,97,1.0,189.28
AMELIA HEALTH AND REHAB,MEDICAID,1485.0,8,8,1.0,185.63
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,5190.0,28,28,1.0,185.36
AMELIA HEALTH AND REHAB,MEDICARE,28075.0,155,155,1.0,181.13
Autumn Care of Madison,COMMERCIAL_HMO,15970.0,106,106,1.0,150.66
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,7155.0,50,50,1.0,143.1
Autumn Care of Madison,MEDICARE,25030.0,169,169,1.0,148.11
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,5655.0,30,30,1.0,188.5
BEDFORD COUNTY NURSING HOME,MEDICAID,640.0,3,3,1.0,213.33
BEDFORD COUNTY NURSING HOME,MEDICARE,10625.0,54,54,1.0,196.76
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,44940.0,254,255,1.0,176.93
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,13755.0,76,76,1.0,180.99
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,30660.0,168,168,1.0,182.5
Claiborne Health and Rehab ,COMMERCIAL_HMO,6305.0,37,38,1.03,170.41
Clarksville Health and Rehab,COMMERCIAL_HMO,915.0,4,4,1.0,228.75
Clarksville Health and Rehab,MEDICARE,555.0,3,3,1.0,185.0
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,30765.0,180,180,1.0,170.92
Clayton Rehab and Healthcare Center,MEDICAID,555.0,3,3,1.0,185.0
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,2200.0,9,12,1.33,244.44
Clayton Rehab and Healthcare Center,MEDICARE,12265.0,73,73,1.0,168.01
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,15505.0,81,87,1.07,191.42
COURTLAND REHAB AND HEALTHCARE,MEDICAID,370.0,2,2,1.0,185.0
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,2660.0,16,16,1.0,166.25
COURTLAND REHAB AND HEALTHCARE,MEDICARE,24205.0,139,142,1.02,174.14
CURRITUCK HEALTH AND REHAB,COMMERCIAL_HMO,185.0,1,1,1.0,185.0
CURRITUCK HEALTH AND REHAB,MEDICARE,1325.0,4,6,1.5,331.25
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,31500.0,163,163,1.0,193.25
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,3380.0,17,17,1.0,198.82
DEER MEADOWS REHABILITATION,MEDICARE,20030.0,107,107,1.0,187.2
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,30240.0,138,149,1.08,219.13
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,3385.0,15,17,1.13,225.67
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,54780.0,270,278,1.03,202.89
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,12685.0,77,78,1.01,164.74
EMPORIA REHAB AND HEALTHCARE,MEDICAID,655.0,3,3,1.0,218.33
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,2880.0,18,18,1.0,160.0
EMPORIA REHAB AND HEALTHCARE,MEDICARE,14700.0,93,93,1.0,158.06
GATES HEALTH AND REHAB,COMMERCIAL_HMO,2290.0,11,11,1.0,208.18
GATES HEALTH AND REHAB,MEDICAID,370.0,2,2,1.0,185.0
GATES HEALTH AND REHAB,MEDICARE,1010.0,5,5,1.0,202.0
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,77480.0,376,376,1.0,206.06
GUILFORD HEALTH CARE CENTER,MEDICAID,3810.0,19,19,1.0,200.53
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,8490.0,42,42,1.0,202.14
GUILFORD HEALTH CARE CENTER,MEDICARE,43435.0,212,212,1.0,204.88
HARMONY PARK AT WILSON,COMMERCIAL_HMO,25725.0,140,141,1.01,183.75
HARMONY PARK AT WILSON,MEDICAID,1575.0,9,9,1.0,175.0
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,5980.0,34,34,1.0,175.88
HARMONY PARK AT WILSON,MEDICARE,9405.0,53,53,1.0,177.45
HERITAGE GREEN,COMMERCIAL_HMO,1430.0,11,11,1.0,130.0
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,450.0,3,3,1.0,150.0
HERITAGE GREEN,MEDICARE,5675.0,34,36,1.06,166.91
HERITAGE HALL OF BLACKSBURG,COMMERCIAL_HMO,26870.0,137,144,1.05,196.13
HERITAGE HALL OF BLACKSBURG,BLUE_CROSS_BLUE_SHIELD,9065.0,41,47,1.15,221.1
HERITAGE HALL OF BLACKSBURG,MEDICARE,35200.0,185,196,1.06,190.27
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,8455.0,43,43,1.0,196.63
HERTFORD REHABILITATION AND HC,MEDICAID,1205.0,7,7,1.0,172.14
HERTFORD REHABILITATION AND HC,MEDICARE,5850.0,31,31,1.0,188.71
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,36735.0,192,192,1.0,191.33
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,14210.0,71,71,1.0,200.14
HIGHLAND RIDGE REHAB,MEDICARE,28990.0,152,152,1.0,190.72
HOLLY MANOR,COMMERCIAL_HMO,29435.0,156,156,1.0,188.69
HOLLY MANOR,MEDICAID,185.0,1,1,1.0,185.0
HOLLY MANOR,BLUE_CROSS_BLUE_SHIELD,7825.0,38,38,1.0,205.92
HOLLY MANOR,MEDICARE,33940.0,182,182,1.0,186.48
HOLLY MANOR,TRICARE_CHAMPUS,1295.0,6,6,1.0,215.83
KENANSVILLE REHAB AND HEALTHCARE,COMMERCIAL_HMO,14045.0,73,73,1.0,192.4
KENANSVILLE REHAB AND HEALTHCARE,MEDICAID,5305.0,30,30,1.0,176.83
KENANSVILLE REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,2000.0,11,11,1.0,181.82
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,6755.0,39,39,1.0,173.21
LAUREL PARK REHAB,COMMERCIAL_HMO,17185.0,86,92,1.07,199.83
LAUREL PARK REHAB,MEDICAID,1635.0,7,7,1.0,233.57
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,1065.0,6,6,1.0,177.5
LAUREL PARK REHAB,MEDICARE,26610.0,133,138,1.04,200.08
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,81830.0,428,428,1.0,191.19
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,15160.0,81,81,1.0,187.16
LEXINGTON HEALTH CARE CENTER,MEDICARE,24620.0,131,131,1.0,187.94
LIFE CARE CENTER OF NEW MARKET,COMMERCIAL_HMO,25630.03,128,133,1.04,200.23
LIFE CARE CENTER OF NEW MARKET,MEDICAID,1640.0,8,8,1.0,205.0
LIFE CARE CENTER OF NEW MARKET,BLUE_CROSS_BLUE_SHIELD,3605.0,19,19,1.0,189.74
LIFE CARE CENTER OF NEW MARKET,MEDICARE,42245.01,207,210,1.01,204.08
MOUNTAIN LAUREL,COMMERCIAL_HMO,35900.0,180,180,1.0,199.44
MOUNTAIN LAUREL,MEDICAID,785.0,3,3,1.0,261.67
MOUNTAIN LAUREL,BLUE_CROSS_BLUE_SHIELD,6300.0,33,33,1.0,190.91
MOUNTAIN LAUREL,MEDICARE,15655.0,77,77,1.0,203.31
NORTHERN NECK-ALF,COMMERCIAL_HMO,610.0,2,2,1.0,305.0
NORTHERN NECK-ALF,MEDICARE,2310.0,9,9,1.0,256.67
NORTHERN NECK SENIOR CARE COMMUNITY,COMMERCIAL_HMO,4720.0,25,25,1.0,188.8
NORTHERN NECK SENIOR CARE COMMUNITY,BLUE_CROSS_BLUE_SHIELD,4165.0,21,21,1.0,198.33
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICARE,33180.0,165,165,1.0,201.09
NOVA HEALTH AND REHAB CENTER,COMMERCIAL_HMO,2120.0,10,10,1.0,212.0
PEAK RESOURCES OUTER BANKS,COMMERCIAL_HMO,6030.0,32,32,1.0,188.44
PEAK RESOURCES OUTER BANKS,MEDICAID,1065.0,6,6,1.0,177.5
PEAK RESOURCES OUTER BANKS,MEDICARE,30755.0,147,155,1.05,209.22
Piedmont Health and Rehab,COMMERCIAL_HMO,22220.0,119,119,1.0,186.72
Piedmont Health and Rehab,MEDICAID,2010.0,9,9,1.0,223.33
Piedmont Health and Rehab,BLUE_CROSS_BLUE_SHIELD,1060.0,6,6,1.0,176.67
Piedmont Health and Rehab,MEDICARE,9650.0,52,52,1.0,185.58
PINEY FOREST HEALTH AND REHAB,COMMERCIAL_HMO,40955.0,230,234,1.02,178.07
PINEY FOREST HEALTH AND REHAB,MEDICAID,1350.0,7,7,1.0,192.86
PINEY FOREST HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,4940.0,27,28,1.04,182.96
