facility_name,total_insurance_payments,total_patient_paid,total_payments
AHOSKIE HEALTH AND REHAB,19165.24,64.96,19230.2
ALAMANCE HEALTH CARE CENTER,68897.41,82.7,68980.11
AMELIA HEALTH AND REHAB,36887.83,120.65,37008.48
Autumn Care of Madison,26812.23,0.0,26812.23
BEDFORD COUNTY NURSING HOME,8673.29,89.25,8762.54
BRANDON OAKS,539.71,0.0,539.71
BRANDON OAKS ALF,48.75,0.0,48.75
CHASE CITY HEALTH & REHAB CENTER,52012.88,151.83,52164.71
Clayton Rehab and Healthcare Center,25580.85,332.95,25913.8
CONSULATE HEALTH CARE OF WOODSTOCK,1855.57,0.0,1855.57
COURTLAND REHAB AND HEALTHCARE,21925.2,365.06,22290.26
DEER MEADOWS REHABILITATION,26876.74,86.93,26963.67
ELIZABETH CITY HEALTH AND REHAB,58763.61,114.42,58878.03
EMPORIA REHAB AND HEALTHCARE,15118.54,0.0,15118.54
FAIRMONT CROSSING HEALTH AND REHAB,69.4,0.0,69.4
GATES-ALF,0.0,0.0,0.0
GATES HEALTH AND REHAB,1577.63,0.0,1577.63
GUGGENHEIMER HEALTH AND REHAB,719.4,0.0,719.4
GUILFORD HEALTH CARE CENTER,67311.86,0.0,67311.86
HARMONY PARK AT WILSON,22093.54,28.71,22122.25
HERITAGE GREEN,5320.9,183.64,5504.54
HERITAGE HALL OF BLACKSBURG,36950.11,0.0,36950.11
HERTFORD REHABILITATION AND HC,14886.36,265.08,15151.44
HIGHLAND RIDGE REHAB,47702.69,197.98,47900.67
HOLLY MANOR,48582.54,93.56,48676.1
KENANSVILLE REHAB AND HEALTHCARE,15354.22,0.0,15354.22
LAUREL PARK REHAB,23906.56,16.99,23923.55
LEXINGTON HEALTH CARE CENTER,65317.27,76.82,65394.09
LIFE CARE CENTER OF NEW MARKET,39606.65,0.0,39606.65
MOUNTAIN LAUREL,26202.12,0.0,26202.12
NORTHERN NECK-ALF,748.99,0.0,748.99
NORTHERN NECK SENIOR CARE COMMUNITY,20398.66,278.25,20676.91
NOVA HEALTH AND REHAB CENTER,1518.35,0.0,1518.35
OAKWOOD MANOR,1270.1,213.9,1484.0
PEAK RESOURCES OUTER BANKS,26046.53,295.26,26341.79
Piedmont Health and Rehab,16565.31,0.0,16565.31
PINEY FOREST HEALTH AND REHAB,31201.35,131.86,31333.21
PULASKI HEALTH & REHAB,59633.17,553.79,60186.96
RADFORD HEALTH & REHAB,36259.87,257.0,36516.87
RIDGECREST MANOR NURSING AND REHAB,37764.35,0.0,37764.35
RIVERSIDE HEALTH AND REHAB,53166.93,221.21,53388.14
RUNK AND PRATT AT WILLOW RIDGE,817.49,135.21,952.7
RUNK & PRATT- FOREST,1464.76,10.61,1475.37
RUNK & PRATT-LEESVILLE,2684.0,29.83,2713.83
RUNK & PRATT- LIBERTY RIDGE,3842.78,0.0,3842.78
RUNK & PRATT- PEARL OF LIFE,3922.22,0.0,3922.22
RUNK & PRATT- SMITH MOUNTAIN LAKE,2852.55,286.57,3139.12
SALEM HEALTH & REHAB,71772.1,423.87,72195.97
SHENANDOAH VALLEY HEALTH,23899.48,0.0,23899.48
STANLEYTOWN HEALTH AND REHAB,68205.99,117.39,68323.38
SUMMIT HEALTH AND REHAB,18156.96,883.27,19040.23
The Rehab Center of Bristol,42212.28,0.0,42212.28
THREE RIVERS HEALTH & REHAB CENTER,11141.17,82.43,11223.6
VALLEY HEALTH CARE CENTER,45180.73,93.56,45274.29
WARSAW HEALTH AND REHAB,3113.07,24.23,3137.3
WATERVIEW HEALTH & REHAB CENTER,36389.91,285.69,36675.6
WAVERLY REHABILITATION,21799.2,35.08,21834.28
WESTMORELAND HEALTHCARE CENTER,26513.61,186.65,26700.26
WILSON HEALTHCARE AND REHAB,19677.66,92.1,19769.76
WINCHESTER HEALTH AND REHAB,-33.89,0.0,-33.89
WINDSOR REHABILITATION,11014.9,0.0,11014.9
WOODLANDS HEALTH & REHAB,14836.18,0.0,14836.18
