code,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,13553,17064,1.26,3156820.0,232.92
99308,4475,5555,1.24,777700.0,173.79
99310,1349,1682,1.25,454140.0,336.65
99306,805,1022,1.27,337260.0,418.96
99316,415,518,1.25,108775.0,262.11
99349,177,226,1.28,57630.0,325.59
99497,150,203,1.35,33495.0,223.3
99315,123,156,1.27,22620.0,183.9
99307,85,114,1.34,10260.0,120.71
99305,86,107,1.24,27820.0,323.49
99350,58,74,1.28,26270.0,452.93
99348,49,58,1.18,9860.0,201.22
G8510,33,42,1.27,0.42,0.01
G0444,27,31,1.15,1085.0,40.19
90471,10,16,1.6,560.0,56.0
69209,11,16,1.45,480.0,43.64
99407,5,6,1.2,360.0,72.0
99406,3,4,1.33,140.0,46.67
G9717,3,4,1.33,0.04,0.01
93793,3,4,1.33,100.0,33.33
G8433,3,3,1.0,0.03,0.01
G8431,3,3,1.0,120.0,40.0
G0317,1,2,2.0,130.0,130.0
99304,1,1,1.0,180.0,180.0
11730,1,1,1.0,240.0,240.0
G0439,1,1,1.0,265.0,265.0
69210,1,1,1.0,100.0,100.0
99380,1,1,1.0,250.0,250.0
