facility_name,submitted_encounters,units_billed,units_per_claim,primary_billed_amount,billed_per_claim
SUMMIT HEALTH AND REHAB,1634,1634,1.0,304460.0,186.33
PULASKI HEALTH & REHAB,903,926,1.03,166305.0,184.17
SALEM HEALTH & REHAB,896,897,1.0,168530.0,188.09
STANLEYTOWN HEALTH AND REHAB,823,847,1.03,161575.0,196.32
LIFE CARE CENTER OF NEW MARKET,757,803,1.06,151435.34,200.05
GUILFORD HEALTH CARE CENTER,754,754,1.0,144190.0,191.23
HIGHLAND RIDGE REHAB,726,726,1.0,131855.0,181.62
ELIZABETH CITY HEALTH AND REHAB,724,755,1.04,151015.0,208.58
LEXINGTON HEALTH CARE CENTER,717,717,1.0,140250.0,195.61
RIVERSIDE HEALTH AND REHAB,709,710,1.0,129845.0,183.14
HOLLY MANOR,705,705,1.0,137680.0,195.29
RADFORD HEALTH & REHAB,675,675,1.0,118230.0,175.16
CHASE CITY HEALTH & REHAB CENTER,662,695,1.05,121990.0,184.27
RIDGECREST MANOR NURSING AND REHAB,635,637,1.0,109540.0,172.5
WATERVIEW HEALTH & REHAB CENTER,562,563,1.0,99225.0,176.56
ALAMANCE HEALTH CARE CENTER,557,559,1.0,109335.0,196.29
PINEY FOREST HEALTH AND REHAB,548,563,1.03,106315.0,194.01
VALLEY HEALTH CARE CENTER,494,494,1.0,91040.0,184.29
WESTMORELAND HEALTHCARE CENTER,484,484,1.0,82850.0,171.18
OAKWOOD MANOR,464,464,1.0,82715.0,178.27
MOUNTAIN LAUREL,384,384,1.0,68245.0,177.72
PEAK RESOURCES OUTER BANKS,372,390,1.05,79035.0,212.46
COURTLAND REHAB AND HEALTHCARE,359,365,1.02,66015.0,183.89
WINDSOR REHABILITATION,346,346,1.0,66915.0,193.4
DEER MEADOWS REHABILITATION,322,322,1.0,61555.0,191.16
HARMONY PARK AT WILSON,320,321,1.0,54860.0,171.44
CONSULATE HEALTH CARE OF WOODSTOCK,316,316,1.0,61050.0,193.2
Clayton Rehab and Healthcare Center,314,315,1.0,66570.0,212.01
NORTHERN NECK SENIOR CARE COMMUNITY,299,299,1.0,61345.0,205.17
WILSON HEALTHCARE AND REHAB,291,291,1.0,51830.0,178.11
SHENANDOAH VALLEY HEALTH,289,290,1.0,51395.0,177.84
KENANSVILLE REHAB AND HEALTHCARE,257,260,1.01,44545.0,173.33
HERTFORD REHABILITATION AND HC,221,221,1.0,41765.0,188.98
EMPORIA REHAB AND HEALTHCARE,208,208,1.0,39250.0,188.7
LAUREL PARK REHAB,202,203,1.0,35170.0,174.11
WAVERLY REHABILITATION,200,201,1.01,34005.0,170.03
THREE RIVERS HEALTH & REHAB CENTER,179,179,1.0,37005.0,206.73
WOODLANDS HEALTH & REHAB,172,172,1.0,29790.0,173.2
AHOSKIE HEALTH AND REHAB,165,170,1.03,32805.0,198.82
AMELIA HEALTH AND REHAB,156,158,1.01,25855.0,165.74
BEDFORD COUNTY NURSING HOME,92,93,1.01,18585.0,202.01
Autumn Care of Madison,77,82,1.06,15805.04,205.26
GUGGENHEIMER HEALTH AND REHAB,67,67,1.0,12030.0,179.55
HERITAGE GREEN,56,56,1.0,11600.0,207.14
NOVA HEALTH AND REHAB CENTER,53,53,1.0,9685.0,182.74
Piedmont Health and Rehab,52,52,1.0,10210.0,196.35
RUNK & PRATT- SMITH MOUNTAIN LAKE,50,50,1.0,13505.0,270.1
RUNK & PRATT- PEARL OF LIFE,46,46,1.0,10685.0,232.28
RUNK & PRATT- LIBERTY RIDGE,44,44,1.0,12285.0,279.2
GATES HEALTH AND REHAB,42,42,1.0,8235.0,196.07
RUNK & PRATT- FOREST,30,32,1.07,7120.0,237.33
RUNK AND PRATT AT WILLOW RIDGE,18,18,1.0,5105.0,283.61
NORTHERN NECK-ALF,13,13,1.0,3190.0,245.38
RUNK & PRATT-LEESVILLE,13,13,1.0,3545.0,272.69
GATES-ALF,2,2,1.0,340.0,170.0
