code,claim_insurance_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,COMMERCIAL_HMO,7807,8515,1.09,1575113.38,201.76
99308,COMMERCIAL_HMO,2864,3195,1.12,447300.0,156.18
99310,COMMERCIAL_HMO,855,897,1.05,242190.0,283.26
99306,COMMERCIAL_HMO,463,488,1.05,161040.0,347.82
99305,COMMERCIAL_HMO,123,141,1.15,36660.0,298.05
99316,COMMERCIAL_HMO,110,114,1.04,23940.0,217.64
99497,COMMERCIAL_HMO,90,96,1.07,15840.0,176.0
99349,COMMERCIAL_HMO,61,61,1.0,15555.0,255.0
99315,COMMERCIAL_HMO,56,57,1.02,8265.0,147.59
99307,COMMERCIAL_HMO,52,56,1.08,5040.0,96.92
99350,COMMERCIAL_HMO,36,36,1.0,12780.0,355.0
99348,COMMERCIAL_HMO,30,30,1.0,5100.0,170.0
G8752,COMMERCIAL_HMO,20,20,1.0,0.2,0.01
G8754,COMMERCIAL_HMO,20,20,1.0,0.2,0.01
G8510,COMMERCIAL_HMO,15,15,1.0,0.15,0.01
90471,COMMERCIAL_HMO,5,5,1.0,175.0,35.0
3044F,COMMERCIAL_HMO,2,2,1.0,0.02,0.01
11719,COMMERCIAL_HMO,2,3,1.5,90.0,45.0
99407,COMMERCIAL_HMO,2,2,1.0,120.0,60.0
99406,COMMERCIAL_HMO,2,2,1.0,70.0,35.0
99358,COMMERCIAL_HMO,2,2,1.0,419.36,209.68
G0317,COMMERCIAL_HMO,2,2,1.0,130.0,65.0
99498,COMMERCIAL_HMO,1,1,1.0,145.0,145.0
11730,COMMERCIAL_HMO,1,1,1.0,240.0,240.0
20610,COMMERCIAL_HMO,1,1,1.0,135.0,135.0
69209,COMMERCIAL_HMO,1,1,1.0,30.0,30.0
G8433,COMMERCIAL_HMO,1,1,1.0,0.01,0.01
93308,COMMERCIAL_HMO,1,1,1.0,55.0,55.0
99304,COMMERCIAL_HMO,1,2,2.0,360.0,360.0
G8431,COMMERCIAL_HMO,1,1,1.0,40.0,40.0
1034F,COMMERCIAL_HMO,1,1,1.0,0.01,0.01
99309,MEDICAID,1562,1562,1.0,288970.0,185.0
99308,MEDICAID,491,491,1.0,68740.0,140.0
99310,MEDICAID,153,153,1.0,41310.0,270.0
99306,MEDICAID,45,45,1.0,14850.0,330.0
99305,MEDICAID,17,17,1.0,4420.0,260.0
99497,MEDICAID,11,11,1.0,1815.0,165.0
99316,MEDICAID,9,9,1.0,1890.0,210.0
99315,MEDICAID,6,6,1.0,870.0,145.0
99307,MEDICAID,5,5,1.0,450.0,90.0
99349,MEDICAID,2,2,1.0,510.0,255.0
G8752,MEDICAID,1,1,1.0,0.01,0.01
G8754,MEDICAID,1,1,1.0,0.01,0.01
99304,MEDICAID,1,1,1.0,180.0,180.0
G0317,MEDICAID,1,1,1.0,65.0,65.0
99309,BLUE_CROSS_BLUE_SHIELD,2565,2611,1.02,483035.0,188.32
99308,BLUE_CROSS_BLUE_SHIELD,874,876,1.0,122640.0,140.32
99310,BLUE_CROSS_BLUE_SHIELD,256,259,1.01,69930.0,273.16
99306,BLUE_CROSS_BLUE_SHIELD,235,236,1.0,77880.0,331.4
99305,BLUE_CROSS_BLUE_SHIELD,41,42,1.02,10920.0,266.34
99316,BLUE_CROSS_BLUE_SHIELD,37,38,1.03,7980.0,215.68
99349,BLUE_CROSS_BLUE_SHIELD,26,26,1.0,6630.0,255.0
99497,BLUE_CROSS_BLUE_SHIELD,25,25,1.0,4125.0,165.0
99350,BLUE_CROSS_BLUE_SHIELD,15,15,1.0,5325.0,355.0
99315,BLUE_CROSS_BLUE_SHIELD,14,14,1.0,2030.0,145.0
99348,BLUE_CROSS_BLUE_SHIELD,13,13,1.0,2210.0,170.0
G8510,BLUE_CROSS_BLUE_SHIELD,5,5,1.0,0.05,0.01
99307,BLUE_CROSS_BLUE_SHIELD,5,5,1.0,450.0,90.0
G8754,BLUE_CROSS_BLUE_SHIELD,5,5,1.0,0.05,0.01
