code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,AARP,362,362,1.0,66970.0,185.0
99308,AARP,101,101,1.0,14140.0,140.0
99310,AARP,38,38,1.0,10260.0,270.0
99306,AARP,22,22,1.0,7260.0,330.0
99497,AARP,8,8,1.0,1320.0,165.0
99305,AARP,7,7,1.0,1820.0,260.0
99316,AARP,6,6,1.0,1260.0,210.0
99349,AARP,5,5,1.0,1275.0,255.0
99350,AARP,4,4,1.0,1420.0,355.0
G8754,AARP,4,4,1.0,0.04,0.01
G8752,AARP,4,4,1.0,0.04,0.01
99348,AARP,3,3,1.0,510.0,170.0
99307,AARP,2,2,1.0,180.0,90.0
11730,AARP,1,1,1.0,240.0,240.0
G8431,AARP,1,1,1.0,40.0,40.0
3044F,AARP,1,1,1.0,0.01,0.01
G8510,AARP,1,1,1.0,0.01,0.01
99315,AARP,1,1,1.0,145.0,145.0
99309,AETNA BETTER HEALTH OF VIRGINIA,545,689,1.26,127465.0,233.88
99308,AETNA BETTER HEALTH OF VIRGINIA,259,331,1.28,46340.0,178.92
99310,AETNA BETTER HEALTH OF VIRGINIA,33,43,1.3,11610.0,351.82
99306,AETNA BETTER HEALTH OF VIRGINIA,21,27,1.29,8910.0,424.29
99305,AETNA BETTER HEALTH OF VIRGINIA,11,13,1.18,3380.0,307.27
99307,AETNA BETTER HEALTH OF VIRGINIA,7,7,1.0,630.0,90.0
99316,AETNA BETTER HEALTH OF VIRGINIA,3,4,1.33,840.0,280.0
99497,AETNA BETTER HEALTH OF VIRGINIA,3,4,1.33,660.0,220.0
G8754,AETNA BETTER HEALTH OF VIRGINIA,2,2,1.0,0.02,0.01
G8752,AETNA BETTER HEALTH OF VIRGINIA,2,2,1.0,0.02,0.01
G8510,AETNA BETTER HEALTH OF VIRGINIA,2,2,1.0,0.02,0.01
99315,AETNA BETTER HEALTH OF VIRGINIA,2,3,1.5,435.0,217.5
3044F,AETNA BETTER HEALTH OF VIRGINIA,1,1,1.0,0.01,0.01
1034F,AETNA BETTER HEALTH OF VIRGINIA,1,1,1.0,0.01,0.01
99309,AETNA - PPO,379,381,1.01,70485.0,185.98
99308,AETNA - PPO,149,150,1.01,21000.0,140.94
99310,AETNA - PPO,55,55,1.0,14850.0,270.0
99306,AETNA - PPO,30,30,1.0,9900.0,330.0
99497,AETNA - PPO,10,10,1.0,1650.0,165.0
99316,AETNA - PPO,8,8,1.0,1680.0,210.0
99305,AETNA - PPO,5,5,1.0,1300.0,260.0
99349,AETNA - PPO,4,4,1.0,1020.0,255.0
