insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
VIRGINIA MEDICARE,6564,6644,1.01,1231555.41,187.62
UNITED HEALTHCARE,3926,3978,1.01,742100.04,189.02
VIRGINIA BLUE SHIELD,2284,2353,1.03,444650.06,194.68
HUMANA,2257,2286,1.01,434514.73,192.52
NORTH CAROLINA MEDICARE,2099,2147,1.02,412050.0,196.31
NORTH CAROLINA MEDICAID,1440,1450,1.01,267665.0,185.88
ANTHEM BLUE CROSS,1088,1107,1.02,206840.14,190.11
UNITED HEALTHCARE COMMUNITY PLAN,913,921,1.01,165590.02,181.37
AETNA BETTER HEALTH OF VIRGINIA,880,1129,1.28,200270.08,227.58
VIRGINIA MEDICAID,833,837,1.0,153170.02,183.88
AETNA - PPO,635,651,1.03,122575.02,193.03
NORTH CAROLINA BLUE SHIELD,565,574,1.02,113245.0,200.43
AARP,551,571,1.04,106840.1,193.9
OPTIMA HEALTH PLANS,510,520,1.02,92889.71,182.14
SENTARA HEALTH MANAGEMENT,462,464,1.0,85180.0,184.37
MUTUAL OF OMAHA,451,456,1.01,86550.04,191.91
UNITEDHEALTHCARE MEDICARE COMPLETE,328,334,1.02,64275.0,195.96
TRICARE FOR LIFE,305,314,1.03,59655.03,195.59
AETNA SSI,281,290,1.03,54305.05,193.26
LIFEWORKS ADVANTAGE (ISNP PLAN),249,251,1.01,42645.0,171.27
OPTIMA FAMILY CARE,210,212,1.01,36555.0,174.07
MOLINA COMPLETE CARE OF VIRGINIA,160,161,1.01,28205.0,176.28
LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,146,154,1.05,27805.07,190.45
MERIDIAN PACE SOLUTIONS,128,128,1.0,23560.0,184.06
MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,98,99,1.01,17735.0,180.97
RETIRED RAILROAD MEDICARE,82,83,1.01,16100.0,196.34
CHAMPVA - HAC,79,80,1.01,15395.0,194.87
MEDICO INSURANCE COMPANY,78,78,1.0,14110.0,180.9
VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,76,76,1.0,14670.0,193.03
UNITEDHEALTHCARE,69,69,1.0,12670.0,183.62
GENERIC PAYER (AUTO-FORWARDED),60,61,1.02,11295.0,188.25
