code,visit_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,No Visit Type Extracted,14984,18289,1.22,3383303.38,225.79
99308,No Visit Type Extracted,5364,6514,1.21,911960.0,170.01
99310,No Visit Type Extracted,1587,1918,1.21,517860.0,326.31
99306,No Visit Type Extracted,913,1067,1.17,352110.0,385.66
99316,No Visit Type Extracted,255,264,1.04,55440.0,217.41
99305,No Visit Type Extracted,235,300,1.28,78000.0,331.91
99497,No Visit Type Extracted,173,215,1.24,35475.0,205.06
99349,No Visit Type Extracted,150,185,1.23,47175.0,314.5
99315,No Visit Type Extracted,127,131,1.03,18995.0,149.57
99350,No Visit Type Extracted,76,105,1.38,37275.0,490.46
99307,No Visit Type Extracted,71,79,1.11,7110.0,100.14
99348,No Visit Type Extracted,61,82,1.34,13940.0,228.52
G8510,No Visit Type Extracted,32,39,1.22,0.39,0.01
G8754,No Visit Type Extracted,27,34,1.26,0.34,0.01
G8752,No Visit Type Extracted,27,34,1.26,0.34,0.01
90471,No Visit Type Extracted,8,11,1.38,385.0,48.13
99406,No Visit Type Extracted,4,4,1.0,140.0,35.0
3044F,No Visit Type Extracted,3,5,1.67,0.05,0.02
99304,No Visit Type Extracted,3,4,1.33,720.0,240.0
G8433,No Visit Type Extracted,3,5,1.67,0.05,0.02
G0317,No Visit Type Extracted,3,3,1.0,195.0,65.0
99498,No Visit Type Extracted,2,2,1.0,290.0,145.0
99358,No Visit Type Extracted,2,2,1.0,419.36,209.68
11719,No Visit Type Extracted,2,3,1.5,90.0,45.0
99407,No Visit Type Extracted,2,2,1.0,120.0,60.0
G8755,No Visit Type Extracted,1,2,2.0,0.02,0.02
11730,No Visit Type Extracted,1,2,2.0,480.0,480.0
15853,No Visit Type Extracted,1,1,1.0,25.0,25.0
20610,No Visit Type Extracted,1,1,1.0,135.0,135.0
33993,No Visit Type Extracted,1,1,1.0,315.0,315.0
69209,No Visit Type Extracted,1,1,1.0,30.0,30.0
93308,No Visit Type Extracted,1,1,1.0,55.0,55.0
G0127,No Visit Type Extracted,1,1,1.0,50.0,50.0
G0444,No Visit Type Extracted,1,1,1.0,35.0,35.0
G8431,No Visit Type Extracted,1,1,1.0,40.0,40.0
G8753,No Visit Type Extracted,1,2,2.0,0.02,0.02
1034F,No Visit Type Extracted,1,1,1.0,0.01,0.01
