facility_name,submitted_encounters,units_billed,units_per_claim,primary_billed_amount,billed_per_claim
SUMMIT HEALTH AND REHAB,1884,1885,1.0,355465.0,188.68
SALEM HEALTH & REHAB,1362,1363,1.0,249980.0,183.54
PULASKI HEALTH & REHAB,1029,1050,1.02,190625.0,185.25
LIFE CARE CENTER OF NEW MARKET,894,990,1.11,173430.88,193.99
STANLEYTOWN HEALTH AND REHAB,873,896,1.03,171475.0,196.42
ALAMANCE HEALTH CARE CENTER,869,871,1.0,165570.0,190.53
LEXINGTON HEALTH CARE CENTER,865,866,1.0,169530.0,195.99
VALLEY HEALTH CARE CENTER,848,849,1.0,153180.0,180.64
HIGHLAND RIDGE REHAB,806,807,1.0,148950.0,184.8
ELIZABETH CITY HEALTH AND REHAB,800,845,1.06,167340.0,209.18
HOLLY MANOR,740,740,1.0,141160.0,190.76
GUILFORD HEALTH CARE CENTER,676,680,1.01,135940.0,201.09
RIVERSIDE HEALTH AND REHAB,660,660,1.0,115345.0,174.77
RIDGECREST MANOR NURSING AND REHAB,653,653,1.0,109705.0,168.0
CHASE CITY HEALTH & REHAB CENTER,636,637,1.0,119315.0,187.6
RADFORD HEALTH & REHAB,590,590,1.0,99670.0,168.93
PINEY FOREST HEALTH AND REHAB,529,546,1.03,100665.01,190.29
WESTMORELAND HEALTHCARE CENTER,504,504,1.0,93100.0,184.72
COURTLAND REHAB AND HEALTHCARE,473,485,1.03,87100.0,184.14
DEER MEADOWS REHABILITATION,452,452,1.0,84380.0,186.68
WATERVIEW HEALTH & REHAB CENTER,441,441,1.0,79745.0,180.83
MOUNTAIN LAUREL,440,441,1.0,81655.0,185.58
Clayton Rehab and Healthcare Center,438,441,1.01,79225.0,180.88
PEAK RESOURCES OUTER BANKS,431,447,1.04,89105.0,206.74
OAKWOOD MANOR,431,431,1.0,78415.0,181.94
KENANSVILLE REHAB AND HEALTHCARE,412,413,1.0,72435.0,175.81
NORTHERN NECK SENIOR CARE COMMUNITY,393,393,1.0,83815.0,213.27
HARMONY PARK AT WILSON,381,381,1.0,68078.38,178.68
EMPORIA REHAB AND HEALTHCARE,373,373,1.0,71965.0,192.94
WINDSOR REHABILITATION,334,334,1.0,63695.0,190.7
AHOSKIE HEALTH AND REHAB,316,334,1.06,64600.0,204.43
Autumn Care of Madison,296,296,1.0,47715.0,161.2
WILSON HEALTHCARE AND REHAB,276,276,1.0,49150.0,178.08
HERITAGE HALL OF BLACKSBURG,275,275,1.0,51429.68,187.02
Piedmont Health and Rehab,262,262,1.0,51355.0,196.01
SHENANDOAH VALLEY HEALTH,245,246,1.0,40125.0,163.78
WAVERLY REHABILITATION,215,215,1.0,42840.0,199.26
THREE RIVERS HEALTH & REHAB CENTER,192,192,1.0,38870.0,202.45
HERTFORD REHABILITATION AND HC,182,184,1.01,35520.0,195.16
WOODLANDS HEALTH & REHAB,160,162,1.01,28415.0,177.59
AMELIA HEALTH AND REHAB,137,139,1.01,24615.0,179.67
LAUREL PARK REHAB,105,110,1.05,20495.0,195.19
BEDFORD COUNTY NURSING HOME,95,95,1.0,19695.0,207.32
HERITAGE GREEN,82,84,1.02,18455.0,225.06
GATES HEALTH AND REHAB,73,73,1.0,14730.0,201.78
RUNK & PRATT- SMITH MOUNTAIN LAKE,44,44,1.0,12980.0,295.0
RUNK & PRATT- LIBERTY RIDGE,42,42,1.0,12135.0,288.93
NOVA HEALTH AND REHAB CENTER,38,38,1.0,7390.0,194.47
RUNK & PRATT- PEARL OF LIFE,38,38,1.0,8760.0,230.53
CONSULATE HEALTH CARE OF WOODSTOCK,34,48,1.41,7530.11,221.47
RUNK & PRATT- FOREST,31,33,1.06,7725.0,249.19
RUNK AND PRATT AT WILLOW RIDGE,23,23,1.0,6795.0,295.43
RUNK & PRATT-LEESVILLE,19,19,1.0,5105.0,268.68
NORTHERN NECK-ALF,10,10,1.0,2965.0,296.5
GUGGENHEIMER HEALTH AND REHAB,4,4,1.0,690.0,172.5
WINCHESTER HEALTH AND REHAB,1,1,1.0,330.0,330.0
GATES-ALF,1,1,1.0,255.0,255.0
