facility_name,total_insurance_payments,total_patient_paid,total_payments
AHOSKIE HEALTH AND REHAB,20616.82,0.0,20616.82
ALAMANCE HEALTH CARE CENTER,65819.66,20.0,65839.66
AMELIA HEALTH AND REHAB,14453.26,0.0,14453.26
Autumn Care of Madison,13917.64,0.0,13917.64
BEDFORD COUNTY NURSING HOME,9619.6,0.0,9619.6
CHASE CITY HEALTH & REHAB CENTER,47245.51,0.0,47245.51
Clayton Rehab and Healthcare Center,32942.0,123.66,33065.66
CONSULATE HEALTH CARE OF WOODSTOCK,10046.6,0.0,10046.6
COURTLAND REHAB AND HEALTHCARE,27260.15,13.17,27273.32
DEER MEADOWS REHABILITATION,26243.34,0.0,26243.34
ELIZABETH CITY HEALTH AND REHAB,53292.84,12.54,53305.38
EMPORIA REHAB AND HEALTHCARE,13012.18,0.0,13012.18
GATES-ALF,236.9,0.0,236.9
GATES HEALTH AND REHAB,2974.4,0.0,2974.4
GUGGENHEIMER HEALTH AND REHAB,3414.88,0.0,3414.88
GUILFORD HEALTH CARE CENTER,68648.08,0.0,68648.08
HARMONY PARK AT WILSON,21790.26,0.0,21790.26
HERITAGE GREEN,7684.06,60.0,7744.06
HERTFORD REHABILITATION AND HC,15648.9,16.99,15665.89
HIGHLAND RIDGE REHAB,60103.53,0.0,60103.53
HOLLY MANOR,53605.63,0.0,53605.63
KENANSVILLE REHAB AND HEALTHCARE,12503.16,0.0,12503.16
LAUREL PARK REHAB,15953.94,35.16,15989.1
LEXINGTON HEALTH CARE CENTER,71072.67,55.0,71127.67
LIFE CARE CENTER OF NEW MARKET,58203.65,131.67,58335.32
MOUNTAIN LAUREL,28168.26,0.0,28168.26
NORTHERN NECK-ALF,664.23,0.0,664.23
NORTHERN NECK SENIOR CARE COMMUNITY,25620.89,24.66,25645.55
NOVA HEALTH AND REHAB CENTER,3911.34,0.0,3911.34
OAKWOOD MANOR,34978.54,0.0,34978.54
PEAK RESOURCES OUTER BANKS,33915.08,19.0,33934.08
Piedmont Health and Rehab,10687.66,0.0,10687.66
PINEY FOREST HEALTH AND REHAB,38054.01,0.0,38054.01
PULASKI HEALTH & REHAB,67007.17,0.0,67007.17
RADFORD HEALTH & REHAB,40222.82,0.0,40222.82
RIDGECREST MANOR NURSING AND REHAB,45551.91,0.0,45551.91
RIVERSIDE HEALTH AND REHAB,45715.16,0.0,45715.16
RUNK AND PRATT AT WILLOW RIDGE,2064.73,0.0,2064.73
RUNK & PRATT- FOREST,3889.69,0.0,3889.69
RUNK & PRATT-LEESVILLE,1347.3,0.0,1347.3
RUNK & PRATT- LIBERTY RIDGE,4747.44,0.0,4747.44
RUNK & PRATT- PEARL OF LIFE,4633.32,5.13,4638.45
RUNK & PRATT- SMITH MOUNTAIN LAKE,6498.35,15.0,6513.35
SALEM HEALTH & REHAB,85085.82,282.49,85368.31
SHENANDOAH VALLEY HEALTH,19150.6,0.0,19150.6
STANLEYTOWN HEALTH AND REHAB,68289.13,0.0,68289.13
SUMMIT HEALTH AND REHAB,133209.2,0.0,133209.2
THREE RIVERS HEALTH & REHAB CENTER,19488.42,0.0,19488.42
VALLEY HEALTH CARE CENTER,44099.68,95.96,44195.64
WATERVIEW HEALTH & REHAB CENTER,34965.02,0.0,34965.02
WAVERLY REHABILITATION,9287.67,0.0,9287.67
WESTMORELAND HEALTHCARE CENTER,29559.86,0.0,29559.86
WILSON HEALTHCARE AND REHAB,22355.25,0.0,22355.25
WINDSOR REHABILITATION,21888.03,31.2,21919.23
WOODLANDS HEALTH & REHAB,11136.23,0.0,11136.23
