code,visit_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,No Visit Type Extracted,14158,17669,1.25,3268745.0,230.88
99308,No Visit Type Extracted,4833,6065,1.25,849100.0,175.69
99310,No Visit Type Extracted,1503,1849,1.23,499230.0,332.16
99306,No Visit Type Extracted,872,1054,1.21,347820.0,398.88
99316,No Visit Type Extracted,394,499,1.27,104785.0,265.95
99305,No Visit Type Extracted,201,280,1.39,72800.0,362.19
99349,No Visit Type Extracted,190,253,1.33,64515.0,339.55
99497,No Visit Type Extracted,140,188,1.34,31020.0,221.57
99315,No Visit Type Extracted,119,145,1.22,21025.0,176.68
99307,No Visit Type Extracted,73,83,1.14,7470.0,102.33
99348,No Visit Type Extracted,68,95,1.4,16150.0,237.5
99350,No Visit Type Extracted,47,66,1.4,23430.0,498.51
G8510,No Visit Type Extracted,34,40,1.18,0.4,0.01
G8752,No Visit Type Extracted,29,29,1.0,0.29,0.01
G8754,No Visit Type Extracted,29,29,1.0,0.29,0.01
90471,No Visit Type Extracted,11,17,1.55,595.0,54.09
G0444,No Visit Type Extracted,10,13,1.3,455.0,45.5
G0317,No Visit Type Extracted,6,7,1.17,455.0,75.83
99406,No Visit Type Extracted,5,6,1.2,210.0,42.0
69209,No Visit Type Extracted,4,4,1.0,120.0,30.0
G8431,No Visit Type Extracted,4,4,1.0,160.0,40.0
3044F,No Visit Type Extracted,3,5,1.67,0.05,0.02
99304,No Visit Type Extracted,3,3,1.0,540.0,180.0
G8433,No Visit Type Extracted,3,3,1.0,0.03,0.01
20610,No Visit Type Extracted,2,3,1.5,405.0,202.5
33993,No Visit Type Extracted,2,2,1.0,630.0,315.0
G9717,No Visit Type Extracted,1,1,1.0,0.01,0.01
1220F,No Visit Type Extracted,1,2,2.0,0.02,0.02
25110,No Visit Type Extracted,1,1,1.0,715.0,715.0
3014F,No Visit Type Extracted,1,2,2.0,0.02,0.02
3051F,No Visit Type Extracted,1,1,1.0,0.01,0.01
51702,No Visit Type Extracted,1,1,1.0,125.0,125.0
69210,No Visit Type Extracted,1,1,1.0,100.0,100.0
99498,No Visit Type Extracted,1,1,1.0,145.0,145.0
11750,No Visit Type Extracted,1,1,1.0,330.0,330.0
