"Location","State"
"ACCORDIUS HEALTH AT WILSON LLC","NC"
"AHOSKIE HEALTH AND REHABILITATION CENTER","NC"
"ALAMANCE OPERATOR LLC","NC"
"AMELIA HEALTH AND REHAB","VA"
"APPOMATTOX HEALTH AND REHAB","VA"
"Appomattox Health and Rehab","VA"
"BRANDON OAKS","VA"
"BRIAN CENTER HEALTH & REHABILITATION - W","NC"
"Bedford Nursing Home","VA"
"CARRINGTON PLACE OF TAPPAHANNOCK","VA"
"CHASE CITY HEALTH & REHAB CENTER","VA"
"CONSULATE HEALTH CARE OF WOODSTOCK","VA"
"COURTLAND REHAB AND HEALTHCARE","VA"
"EVERGREEN HEALTH AND REHAB","VA"
"Elizabeth City Healthcare and Rehab LLC","NC"
"Emporia Rehab and Healthcare","VA"
"FAIRMONT CROSSING HEALTH AND REHAB","VA"
"GATES HEALTH AND REHABILITATION CENTER","NC"
"GRETNA HEALTH & REHAB","VA"
"GUGGENHEIMER HEALTH AND REHAB","VA"
"GUILFORD HEALTH CARE CENTER, INC.","NC"
"HERTFORD OPCO LLC","NC"
"HIGHLAND RIDGE REHAB","VA"
"HOLLY MANOR","VA"
"Heritage Green","VA"
"Heritage Hall Lexington","VA"
"KENANSVILLE REHABILITATION AND HEALTHCAR","NC"
"KENDAL AT LEXINGTON","VA"
"LAUREL PARK OPCO LLC","NC"
"LEXINGTON OPERATOR LLC","VA"
"LIFE CARE CENTER OF NEW MARKET","VA"
"LYNCHBURG HEALTH AND REHAB CENTER","VA"
"LYNN CARE CENTER","VA"
"Laurel Park Rehab and Healthcare Center","NC"
"Mountain Laurel Rehabilitation and Nursi","VA"
"NORTHERN NECK SENIOR CARE COMMUNITY","VA"
"NOVA HEALTH & REHAB CENTER","VA"
"Northern Neck Senior Care Community","VA"
"OAKWOOD MANOR","VA"
"PHEASANT RIDGE NURSING AND REHAB","VA"
"PINEY FOREST HEALTH & REHABILIATION CENT","VA"
"PULASKI HEALTH AND REHAB","VA"
"Peak Resources Outer Banks","NC"
"RADFORD HEALTH & REHAB","VA"
"RIDGECREST MANOR NURSING AND REHABILITAT","VA"
"RIVERSIDE HEALTH AND REHAB","VA"
"Richfield Living d.b.a. Richfield Health","VA"
"Runk & Pratt - Liberty Ridge","VA"
"Runk and Pratt at Wilson Park�","VA"
"SALEM HEALTH & REHAB","VA"
"SHENANDOAH VALLEY HEALTH","VA"
"SPRINGTREE HEALTH AND REHAB","VA"
"STANLEYTOWN HEALTH AND REHAB","VA"
"SUMMIT HEALTH AND REHAB","VA"
"Sunnyside Presbyterian Home, Inc. dba Su","VA"
"THREE RIVERS HEALTH & REHAB CENTER","VA"
"The Woodlands Health & Rehab Center","VA"
"Three Rivers Health & Rehab Center","VA"
"VALLEY REHABILITATION AND NURSING CENTER","VA"
"WATERVIEW HEALTH & REHAB CENTER","VA"
"WAVERLY REHABILITATION","VA"
"WILLIAMSBURG LANDING","VA"
"WINCHESTER HEALTH AND REHAB","VA"
"WINDSOR OPCO LLC","NC"
"WOODLANDS HEALTH & REHAB","VA"
"Westmoreland Rehab and Healthcare Center","VA"
