facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,13080.0,65,68,1.05,201.23
AHOSKIE HEALTH AND REHAB,MEDICAID,2955.0,16,16,1.0,184.69
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,1520.0,8,8,1.0,190.0
AHOSKIE HEALTH AND REHAB,MEDICARE,28500.0,150,152,1.01,190.0
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,29060.0,161,161,1.0,180.5
ALAMANCE HEALTH CARE CENTER,MEDICAID,8015.0,45,45,1.0,178.11
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,2360.0,14,14,1.0,168.57
ALAMANCE HEALTH CARE CENTER,MEDICARE,30130.0,162,163,1.01,185.99
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,8330.0,45,45,1.0,185.11
AMELIA HEALTH AND REHAB,MEDICAID,280.0,2,2,1.0,140.0
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,4490.0,26,26,1.0,172.69
AMELIA HEALTH AND REHAB,MEDICARE,22540.0,138,138,1.0,163.33
Autumn Care of Madison,COMMERCIAL_HMO,10360.0,75,75,1.0,138.13
Autumn Care of Madison,MEDICAID,1020.01,7,8,1.14,145.72
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,7150.0,57,57,1.0,125.44
Autumn Care of Madison,MEDICARE,14845.0,109,109,1.0,136.19
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,2200.0,11,11,1.0,200.0
BEDFORD COUNTY NURSING HOME,MEDICARE,8400.0,43,43,1.0,195.35
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,21690.0,123,123,1.0,176.34
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,185.0,1,1,1.0,185.0
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,4605.0,25,25,1.0,184.2
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,21070.0,115,116,1.01,183.22
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,28085.0,147,149,1.01,191.05
Clayton Rehab and Healthcare Center,MEDICAID,2210.0,12,12,1.0,184.17
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,2125.0,10,10,1.0,212.5
Clayton Rehab and Healthcare Center,MEDICARE,16850.0,92,92,1.0,183.15
CONSULATE HEALTH CARE OF WOODSTOCK,MEDICARE,4500.0,25,25,1.0,180.0
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,12305.0,72,74,1.03,170.9
COURTLAND REHAB AND HEALTHCARE,MEDICAID,1565.0,8,9,1.13,195.63
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,4690.0,27,28,1.04,173.7
COURTLAND REHAB AND HEALTHCARE,MEDICARE,17070.0,90,90,1.0,189.67
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,14690.0,77,77,1.0,190.78
DEER MEADOWS REHABILITATION,MEDICAID,1390.0,8,8,1.0,173.75
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,1195.0,5,5,1.0,239.0
DEER MEADOWS REHABILITATION,MEDICARE,13200.0,70,70,1.0,188.57
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,13855.0,71,72,1.01,195.14
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,185.0,1,1,1.0,185.0
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,950.0,5,5,1.0,190.0
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,30075.0,147,157,1.07,204.59
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,20325.0,111,111,1.0,183.11
EMPORIA REHAB AND HEALTHCARE,MEDICAID,370.0,2,2,1.0,185.0
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,2200.0,12,12,1.0,183.33
EMPORIA REHAB AND HEALTHCARE,MEDICARE,27130.0,145,145,1.0,187.1
GATES HEALTH AND REHAB,COMMERCIAL_HMO,2220.0,12,12,1.0,185.0
GATES HEALTH AND REHAB,MEDICAID,1520.0,8,8,1.0,190.0
GATES HEALTH AND REHAB,MEDICARE,2445.0,13,13,1.0,188.08
GUGGENHEIMER HEALTH AND REHAB,COMMERCIAL_HMO,185.0,1,1,1.0,185.0
GUGGENHEIMER HEALTH AND REHAB,MEDICARE,2890.0,18,18,1.0,160.56
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,31430.24,140,141,1.01,224.5
GUILFORD HEALTH CARE CENTER,MEDICAID,1575.0,9,9,1.0,175.0
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,8065.0,37,38,1.03,217.97
GUILFORD HEALTH CARE CENTER,MEDICARE,16395.0,79,79,1.0,207.53
HARMONY PARK AT WILSON,COMMERCIAL_HMO,14700.0,81,81,1.0,181.48
HARMONY PARK AT WILSON,MEDICAID,3095.0,18,18,1.0,171.94
