facility_name,total_insurance_payments,total_patient_paid,total_payments
PEAK RESOURCES OUTER BANKS,9223.1,338.77,9561.87
STANLEYTOWN HEALTH AND REHAB,27302.26,51.8,27354.06
SALEM HEALTH & REHAB,29294.42,0.0,29294.42
PINEY FOREST HEALTH AND REHAB,14899.4,0.0,14899.4
OAKWOOD MANOR,-983.87,9.93,-973.94
RUNK & PRATT- FOREST,722.34,122.59,844.93
AHOSKIE HEALTH AND REHAB,8564.45,0.0,8564.45
MOUNTAIN LAUREL,10908.08,0.0,10908.08
KENANSVILLE REHAB AND HEALTHCARE,3472.35,0.0,3472.35
NORTHERN NECK SENIOR CARE COMMUNITY,10182.22,440.07,10622.29
RUNK & PRATT- PEARL OF LIFE,1332.96,0.0,1332.96
The Rehab Center of Bristol,0.0,0.0,0.0
NORTHERN NECK-ALF,278.79,0.0,278.79
WOODLANDS HEALTH & REHAB,2139.36,0.0,2139.36
ELIZABETH CITY HEALTH AND REHAB,26511.99,6.8,26518.79
RUNK & PRATT-LEESVILLE,270.12,0.0,270.12
WINDSOR REHABILITATION,7401.45,0.0,7401.45
COURTLAND REHAB AND HEALTHCARE,7125.19,0.0,7125.19
HARMONY PARK AT WILSON,9663.02,0.0,9663.02
HOLLY MANOR,25082.83,0.0,25082.83
HERITAGE HALL OF BLACKSBURG,9531.69,0.0,9531.69
CONSULATE HEALTH CARE OF WOODSTOCK,132.73,0.0,132.73
RIDGECREST MANOR NURSING AND REHAB,24595.81,0.0,24595.81
RADFORD HEALTH & REHAB,17224.29,282.2,17506.49
WESTMORELAND HEALTHCARE CENTER,11581.76,0.0,11581.76
RUNK & PRATT- SMITH MOUNTAIN LAKE,1568.52,323.29,1891.81
PULASKI HEALTH & REHAB,27228.05,195.98,27424.03
NOVA HEALTH AND REHAB CENTER,344.5,0.0,344.5
HIGHLAND RIDGE REHAB,28680.52,0.0,28680.52
LAUREL PARK REHAB,4724.49,25.97,4750.46
HERITAGE GREEN,2133.77,0.0,2133.77
WATERVIEW HEALTH & REHAB CENTER,14764.1,0.0,14764.1
RUNK AND PRATT AT WILLOW RIDGE,723.5,0.0,723.5
Autumn Care of Madison,15634.65,0.0,15634.65
EMPORIA REHAB AND HEALTHCARE,5663.62,0.0,5663.62
CHASE CITY HEALTH & REHAB CENTER,21257.22,0.0,21257.22
WAVERLY REHABILITATION,11399.19,0.0,11399.19
AMELIA HEALTH AND REHAB,8293.91,0.0,8293.91
SHENANDOAH VALLEY HEALTH,4439.53,31.2,4470.73
GUGGENHEIMER HEALTH AND REHAB,0.0,60.2,60.2
Piedmont Health and Rehab,3810.05,860.03,4670.08
BEDFORD COUNTY NURSING HOME,4368.79,0.0,4368.79
LIFE CARE CENTER OF NEW MARKET,24603.4,0.0,24603.4
GATES HEALTH AND REHAB,1272.6,0.0,1272.6
HERTFORD REHABILITATION AND HC,5529.26,0.0,5529.26
ALAMANCE HEALTH CARE CENTER,15553.49,118.93,15672.42
SUMMIT HEALTH AND REHAB,47782.42,377.12,48159.54
GUILFORD HEALTH CARE CENTER,23751.35,0.0,23751.35
WARSAW HEALTH AND REHAB,2002.21,0.0,2002.21
RIVERSIDE HEALTH AND REHAB,22209.18,20.0,22229.18
THREE RIVERS HEALTH & REHAB CENTER,4768.8,0.0,4768.8
WILSON HEALTHCARE AND REHAB,6659.13,950.92,7610.05
Clayton Rehab and Healthcare Center,9155.67,0.0,9155.67
DEER MEADOWS REHABILITATION,12798.25,0.0,12798.25
RUNK & PRATT- LIBERTY RIDGE,1007.17,0.0,1007.17
VALLEY HEALTH CARE CENTER,14933.81,0.0,14933.81
LEXINGTON HEALTH CARE CENTER,22677.3,140.29,22817.59
