facility_name,total_insurance_payments,total_patient_paid,total_payments
AHOSKIE HEALTH AND REHAB,20824.36,0.0,20824.36
ALAMANCE HEALTH CARE CENTER,54178.06,433.57,54611.63
AMELIA HEALTH AND REHAB,22160.4,0.0,22160.4
Autumn Care of Madison,23293.21,13.11,23306.32
BEDFORD COUNTY NURSING HOME,11114.06,42.31,11156.37
CHASE CITY HEALTH & REHAB CENTER,60678.07,0.0,60678.07
Clayton Rehab and Healthcare Center,27883.78,298.43,28182.21
CONSULATE HEALTH CARE OF WOODSTOCK,693.64,104.38,798.02
COURTLAND REHAB AND HEALTHCARE,26149.33,0.0,26149.33
DEER MEADOWS REHABILITATION,27281.12,104.7,27385.82
ELIZABETH CITY HEALTH AND REHAB,54346.45,202.99,54549.44
EMPORIA REHAB AND HEALTHCARE,16287.92,0.0,16287.92
GATES-ALF,0.0,0.0,0.0
GATES HEALTH AND REHAB,5086.89,0.0,5086.89
GUGGENHEIMER HEALTH AND REHAB,290.34,38.03,328.37
GUILFORD HEALTH CARE CENTER,74127.45,0.0,74127.45
HARMONY PARK AT WILSON,23850.62,35.95,23886.57
HERITAGE GREEN,6729.82,0.0,6729.82
HERITAGE HALL OF BLACKSBURG,15699.27,0.0,15699.27
HERTFORD REHABILITATION AND HC,14197.44,0.0,14197.44
HIGHLAND RIDGE REHAB,60633.51,159.95,60793.46
HOLLY MANOR,49098.42,174.44,49272.86
KENANSVILLE REHAB AND HEALTHCARE,12832.86,0.0,12832.86
LAUREL PARK REHAB,9788.93,164.11,9953.04
LEXINGTON HEALTH CARE CENTER,73635.29,120.0,73755.29
LIFE CARE CENTER OF NEW MARKET,55464.84,0.0,55464.84
MOUNTAIN LAUREL,31415.51,0.0,31415.51
NORTHERN NECK-ALF,815.93,0.0,815.93
NORTHERN NECK SENIOR CARE COMMUNITY,26404.86,177.83,26582.69
NOVA HEALTH AND REHAB CENTER,3644.58,0.0,3644.58
OAKWOOD MANOR,6875.89,267.85,7143.74
PEAK RESOURCES OUTER BANKS,33502.15,175.99,33678.14
Piedmont Health and Rehab,20213.86,0.0,20213.86
PINEY FOREST HEALTH AND REHAB,35405.32,0.0,35405.32
PULASKI HEALTH & REHAB,69880.43,111.03,69991.46
RADFORD HEALTH & REHAB,40280.23,0.0,40280.23
RIDGECREST MANOR NURSING AND REHAB,48339.98,0.0,48339.98
RIVERSIDE HEALTH AND REHAB,50242.37,128.24,50370.61
RUNK AND PRATT AT WILLOW RIDGE,1423.55,0.0,1423.55
RUNK & PRATT- FOREST,2829.33,10.61,2839.94
RUNK & PRATT-LEESVILLE,1889.61,0.0,1889.61
RUNK & PRATT- LIBERTY RIDGE,3859.76,21.48,3881.24
RUNK & PRATT- PEARL OF LIFE,1283.97,0.0,1283.97
RUNK & PRATT- SMITH MOUNTAIN LAKE,3943.25,82.2,4025.45
SALEM HEALTH & REHAB,93698.25,136.63,93834.88
SHENANDOAH VALLEY HEALTH,13147.31,132.01,13279.32
STANLEYTOWN HEALTH AND REHAB,75077.25,402.38,75479.63
SUMMIT HEALTH AND REHAB,128982.65,399.61,129382.26
THREE RIVERS HEALTH & REHAB CENTER,12639.52,0.0,12639.52
VALLEY HEALTH CARE CENTER,44742.21,0.0,44742.21
WARSAW HEALTH AND REHAB,708.02,0.0,708.02
WATERVIEW HEALTH & REHAB CENTER,31031.4,156.57,31187.97
WAVERLY REHABILITATION,18352.92,0.0,18352.92
WESTMORELAND HEALTHCARE CENTER,38364.71,419.18,38783.89
WILSON HEALTHCARE AND REHAB,23942.56,141.34,24083.9
WINDSOR REHABILITATION,23024.28,0.0,23024.28
WOODLANDS HEALTH & REHAB,9269.33,0.0,9269.33
