facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,36215.0,171,185,1.08,211.78
AHOSKIE HEALTH AND REHAB,MEDICAID,18250.0,93,95,1.02,196.24
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,3860.0,20,21,1.05,193.0
AHOSKIE HEALTH AND REHAB,MEDICARE,19225.0,89,98,1.1,216.01
AHOSKIE HEALTH AND REHAB,TRICARE_CHAMPUS,1650.0,8,8,1.0,206.25
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,89410.0,462,464,1.0,193.53
ALAMANCE HEALTH CARE CENTER,MEDICAID,35920.0,196,196,1.0,183.27
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,11520.0,59,59,1.0,195.25
ALAMANCE HEALTH CARE CENTER,MEDICARE,40365.0,215,215,1.0,187.74
ALAMANCE HEALTH CARE CENTER,WORKERS_COMPENSATION,925.0,5,5,1.0,185.0
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,14205.0,74,83,1.12,191.96
AMELIA HEALTH AND REHAB,MEDICAID,1345.0,8,8,1.0,168.13
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,7315.0,41,42,1.02,178.41
AMELIA HEALTH AND REHAB,MEDICARE,4935.0,25,25,1.0,197.4
Autumn Care of Madison,COMMERCIAL_HMO,25005.0,135,153,1.13,185.22
Autumn Care of Madison,MEDICAID,2000.0,13,13,1.0,153.85
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,11385.0,72,72,1.0,158.13
Autumn Care of Madison,MEDICARE,23075.0,147,147,1.0,156.97
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,11080.0,55,55,1.0,201.45
BEDFORD COUNTY NURSING HOME,MEDICAID,3250.0,16,16,1.0,203.13
BEDFORD COUNTY NURSING HOME,BLUE_CROSS_BLUE_SHIELD,1415.0,7,7,1.0,202.14
BEDFORD COUNTY NURSING HOME,MEDICARE,13055.0,65,65,1.0,200.85
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,63400.0,317,341,1.08,200.0
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,4790.0,24,24,1.0,199.58
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,23690.0,126,126,1.0,188.02
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,51620.0,272,273,1.0,189.78
CHASE CITY HEALTH & REHAB CENTER,WORKERS_COMPENSATION,3330.0,17,17,1.0,195.88
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,49430.0,273,274,1.0,181.06
Clayton Rehab and Healthcare Center,MEDICAID,11250.0,65,65,1.0,173.08
