facility_name,total_insurance_payments,total_patient_paid,total_payments
AHOSKIE HEALTH AND REHAB,21196.33,0.0,21196.33
ALAMANCE HEALTH CARE CENTER,50514.03,341.43,50855.46
AMELIA HEALTH AND REHAB,8775.45,0.0,8775.45
Autumn Care of Madison,12248.3,0.0,12248.3
BEDFORD COUNTY NURSING HOME,6797.61,0.0,6797.61
CHASE CITY HEALTH & REHAB CENTER,38206.61,123.89,38330.5
Clayton Rehab and Healthcare Center,36955.15,0.0,36955.15
CONSULATE HEALTH CARE OF WOODSTOCK,2297.14,86.93,2384.07
COURTLAND REHAB AND HEALTHCARE,26285.76,0.0,26285.76
DEER MEADOWS REHABILITATION,28630.04,0.0,28630.04
ELIZABETH CITY HEALTH AND REHAB,51632.92,602.07,52234.99
EMPORIA REHAB AND HEALTHCARE,25873.38,0.0,25873.38
GATES HEALTH AND REHAB,3478.01,0.0,3478.01
GUGGENHEIMER HEALTH AND REHAB,14.34,0.0,14.34
GUILFORD HEALTH CARE CENTER,49339.25,193.1,49532.35
HARMONY PARK AT WILSON,18391.38,28.71,18420.09
HERITAGE GREEN,4210.35,12.44,4222.79
HERITAGE HALL OF BLACKSBURG,16015.31,0.0,16015.31
HERTFORD REHABILITATION AND HC,12689.82,0.0,12689.82
HIGHLAND RIDGE REHAB,52072.83,0.0,52072.83
HOLLY MANOR,50915.47,0.0,50915.47
KENANSVILLE REHAB AND HEALTHCARE,13809.92,0.0,13809.92
LAUREL PARK REHAB,7335.84,16.99,7352.83
LEXINGTON HEALTH CARE CENTER,56839.08,40.0,56879.08
LIFE CARE CENTER OF NEW MARKET,56994.37,220.97,57215.34
MOUNTAIN LAUREL,24397.79,0.0,24397.79
NORTHERN NECK-ALF,784.32,50.0,834.32
NORTHERN NECK SENIOR CARE COMMUNITY,27901.2,162.04,28063.24
NOVA HEALTH AND REHAB CENTER,2131.49,0.0,2131.49
OAKWOOD MANOR,31228.04,450.61,31678.65
PEAK RESOURCES OUTER BANKS,27568.18,317.09,27885.27
Piedmont Health and Rehab,18176.9,0.0,18176.9
PINEY FOREST HEALTH AND REHAB,34751.66,17.45,34769.11
PULASKI HEALTH & REHAB,68048.49,267.9,68316.39
RADFORD HEALTH & REHAB,35207.27,34.58,35241.85
RIDGECREST MANOR NURSING AND REHAB,30742.07,0.0,30742.07
RIVERSIDE HEALTH AND REHAB,34535.97,125.05,34661.02
RUNK AND PRATT AT WILLOW RIDGE,1550.53,0.0,1550.53
RUNK & PRATT- FOREST,2031.96,10.61,2042.57
RUNK & PRATT-LEESVILLE,1249.73,0.0,1249.73
RUNK & PRATT- LIBERTY RIDGE,2510.74,89.48,2600.22
RUNK & PRATT- PEARL OF LIFE,3163.23,42.95,3206.18
RUNK & PRATT- SMITH MOUNTAIN LAKE,3278.83,0.0,3278.83
SALEM HEALTH & REHAB,77240.58,1470.95,78711.53
SHENANDOAH VALLEY HEALTH,13663.08,244.58,13907.66
STANLEYTOWN HEALTH AND REHAB,66015.7,390.01,66405.71
SUMMIT HEALTH AND REHAB,115415.55,1738.04,117153.59
THREE RIVERS HEALTH & REHAB CENTER,13633.58,0.0,13633.58
VALLEY HEALTH CARE CENTER,36773.2,0.0,36773.2
WATERVIEW HEALTH & REHAB CENTER,29367.39,0.0,29367.39
WAVERLY REHABILITATION,13050.79,0.0,13050.79
WESTMORELAND HEALTHCARE CENTER,24341.4,0.0,24341.4
WILSON HEALTHCARE AND REHAB,16615.29,154.79,16770.08
WINDSOR REHABILITATION,13107.12,0.0,13107.12
WOODLANDS HEALTH & REHAB,9563.03,0.0,9563.03
