facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,2565.0,14,14,1.0,183.21
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,27535.0,138,141,1.02,199.53
AHOSKIE HEALTH AND REHAB,MEDICAID,6080.0,32,32,1.0,190.0
AHOSKIE HEALTH AND REHAB,MEDICARE,40840.0,214,217,1.01,190.84
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,6020.0,32,32,1.0,188.12
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,88865.0,462,462,1.0,192.35
ALAMANCE HEALTH CARE CENTER,MEDICAID,11740.0,61,61,1.0,192.46
ALAMANCE HEALTH CARE CENTER,MEDICARE,54600.0,287,288,1.0,190.24
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,9625.0,54,54,1.0,178.24
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,22905.0,123,123,1.0,186.22
AMELIA HEALTH AND REHAB,MEDICAID,140.0,1,1,1.0,140.0
AMELIA HEALTH AND REHAB,MEDICARE,49090.0,298,298,1.0,164.73
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,12540.0,100,100,1.0,125.4
Autumn Care of Madison,COMMERCIAL_HMO,21825.0,170,170,1.0,128.38
Autumn Care of Madison,MEDICAID,650.01,4,5,1.25,162.5
Autumn Care of Madison,MEDICARE,35100.0,262,262,1.0,133.97
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,6725.0,33,33,1.0,203.79
BEDFORD COUNTY NURSING HOME,MEDICARE,17855.0,92,92,1.0,194.08
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,14590.0,79,79,1.0,184.68
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,53960.0,294,295,1.0,183.54
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,1415.0,8,8,1.0,176.88
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,45590.0,253,254,1.0,180.2
CONSULATE HEALTH CARE OF WOODSTOCK,COMMERCIAL_HMO,700.0,3,3,1.0,233.33
CONSULATE HEALTH CARE OF WOODSTOCK,MEDICARE,6265.0,34,34,1.0,184.26
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,10470.0,60,61,1.02,174.5
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,19545.0,115,116,1.01,169.96
COURTLAND REHAB AND HEALTHCARE,MEDICAID,1925.0,9,10,1.11,213.89
COURTLAND REHAB AND HEALTHCARE,MEDICARE,30020.0,162,164,1.01,185.31
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,2680.0,13,13,1.0,206.15
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,44160.0,236,239,1.01,187.12
Clayton Rehab and Healthcare Center,MEDICAID,4055.0,22,22,1.0,184.32
Clayton Rehab and Healthcare Center,MEDICARE,26620.0,149,149,1.0,178.66
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,2960.0,16,16,1.0,185.0
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,36200.0,192,192,1.0,188.54
DEER MEADOWS REHABILITATION,MEDICAID,535.0,3,3,1.0,178.33
DEER MEADOWS REHABILITATION,MEDICARE,31255.0,169,169,1.0,184.94
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,950.0,5,5,1.0,190.0
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,42940.0,201,214,1.06,213.63
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,2085.0,9,10,1.11,231.67
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,80550.0,385,408,1.06,209.22
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,5490.0,29,29,1.0,189.31
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,24500.0,137,137,1.0,178.83
EMPORIA REHAB AND HEALTHCARE,MEDICAID,370.0,2,2,1.0,185.0
EMPORIA REHAB AND HEALTHCARE,MEDICARE,44080.0,242,242,1.0,182.15
GATES HEALTH AND REHAB,COMMERCIAL_HMO,2875.0,16,16,1.0,179.69
GATES HEALTH AND REHAB,MEDICAID,1845.0,10,10,1.0,184.5
GATES HEALTH AND REHAB,MEDICARE,4520.0,24,24,1.0,188.33
GUGGENHEIMER HEALTH AND REHAB,COMMERCIAL_HMO,1465.0,8,8,1.0,183.12
GUGGENHEIMER HEALTH AND REHAB,MEDICARE,4920.0,31,31,1.0,158.71
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,12840.0,61,62,1.02,210.49
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,94585.23999999999,452,453,1.0,209.26
GUILFORD HEALTH CARE CENTER,MEDICAID,6615.0,37,37,1.0,178.78
GUILFORD HEALTH CARE CENTER,MEDICARE,50380.0,252,252,1.0,199.92
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,6320.0,36,36,1.0,175.56
HARMONY PARK AT WILSON,COMMERCIAL_HMO,41060.0,238,238,1.0,172.52
HARMONY PARK AT WILSON,MEDICAID,5770.0,33,33,1.0,174.85
HARMONY PARK AT WILSON,MEDICARE,19275.0,112,112,1.0,172.1
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,1970.0,8,8,1.0,246.25
HERITAGE GREEN,COMMERCIAL_HMO,3170.0,21,22,1.05,150.95
HERITAGE GREEN,MEDICARE,7390.0,46,48,1.04,160.65
HERITAGE HALL OF BLACKSBURG,BLUE_CROSS_BLUE_SHIELD,1440.0,7,7,1.0,205.71
HERITAGE HALL OF BLACKSBURG,COMMERCIAL_HMO,25945.0,144,144,1.0,180.17
HERITAGE HALL OF BLACKSBURG,MEDICARE,41602.5,231,232,1.0,180.1
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,18880.0,92,92,1.0,205.22
HERTFORD REHABILITATION AND HC,MEDICAID,7595.0,39,39,1.0,194.74
HERTFORD REHABILITATION AND HC,MEDICARE,8290.0,40,40,1.0,207.25
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,29285.0,162,162,1.0,180.77
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,69550.0,376,377,1.0,184.97
HIGHLAND RIDGE REHAB,MEDICAID,1200.0,7,7,1.0,171.43
HIGHLAND RIDGE REHAB,MEDICARE,33670.0,196,196,1.0,171.79
HOLLY MANOR,BLUE_CROSS_BLUE_SHIELD,13755.0,75,75,1.0,183.4
HOLLY MANOR,COMMERCIAL_HMO,45955.0,242,242,1.0,189.9
HOLLY MANOR,MEDICARE,47460.0,265,265,1.0,179.09
KENANSVILLE REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,2165.0,10,10,1.0,216.5
KENANSVILLE REHAB AND HEALTHCARE,COMMERCIAL_HMO,16990.0,93,93,1.0,182.69
KENANSVILLE REHAB AND HEALTHCARE,MEDICAID,7915.0,47,47,1.0,168.4
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,25515.0,135,135,1.0,189.0
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,1200.0,6,6,1.0,200.0
LAUREL PARK REHAB,COMMERCIAL_HMO,22240.0,101,115,1.14,220.2
LAUREL PARK REHAB,MEDICAID,6135.0,33,33,1.0,185.91
LAUREL PARK REHAB,MEDICARE,20090.0,97,105,1.08,207.11
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,18730.0,93,93,1.0,201.4
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,95050.0,500,500,1.0,190.1
LEXINGTON HEALTH CARE CENTER,MEDICAID,1295.0,7,7,1.0,185.0
