code,provider_name,encounters_billed,units_billed,insurance_billed_amount,units_per_encounter,billed_per_encounter
99309,Abdul Kawa,134,134,24790.0,1.0,185.0
99308,Abdul Kawa,103,103,14420.0,1.0,140.0
99316,Abdul Kawa,12,12,2520.0,1.0,210.0
99310,Abdul Kawa,3,3,810.0,1.0,270.0
99315,Abdul Kawa,1,1,145.0,1.0,145.0
99309,Alfonso Brochero,1,1,185.0,1.0,185.0
99309,Allison Young Smith,27,27,4995.0,1.0,185.0
99308,Allison Young Smith,7,7,980.0,1.0,140.0
99309,Amanda Crews,253,253,46805.0,1.0,185.0
99308,Amanda Crews,136,136,19040.0,1.0,140.0
99316,Amanda Crews,8,8,1680.0,1.0,210.0
99310,Amanda Crews,6,6,1620.0,1.0,270.0
99497,Amanda Crews,3,3,495.0,1.0,165.0
99407,Amanda Crews,1,1,60.0,1.0,60.0
99406,Amanda Crews,1,1,35.0,1.0,35.0
11719,Amanda Crews,1,1,30.0,1.0,30.0
1034F,Amanda Crews,1,1,0.01,1.0,0.01
99309,Amina Santali,50,50,9250.0,1.0,185.0
99308,Amina Santali,18,18,2520.0,1.0,140.0
99310,Amina Santali,3,3,810.0,1.0,270.0
99309,Amy Daniels,162,162,29970.0,1.0,185.0
99308,Amy Daniels,97,97,13580.0,1.0,140.0
99310,Amy Daniels,15,15,4050.0,1.0,270.0
99316,Amy Daniels,7,7,1470.0,1.0,210.0
99497,Amy Daniels,2,2,330.0,1.0,165.0
99309,Amy Reedy,251,251,46435.0,1.0,185.0
99308,Amy Reedy,161,161,22540.0,1.0,140.0
99310,Amy Reedy,27,27,7290.0,1.0,270.0
99315,Amy Reedy,14,14,2030.0,1.0,145.0
99307,Andrew Barlow,78,78,7020.0,1.0,90.0
99308,Andrew Barlow,33,33,4620.0,1.0,140.0
99306,Andrew Barlow,11,11,3630.0,1.0,330.0
99305,Andrew Barlow,12,12,3120.0,1.0,260.0
99309,Andrew Barlow,1,1,185.0,1.0,185.0
99309,Angelia Moore,2,2,370.0,1.0,185.0
99310,Angelia Moore,1,1,270.0,1.0,270.0
99306,Anthony Patriarco,33,33,10890.0,1.0,330.0
99309,Anthony Patriarco,33,33,6105.0,1.0,185.0
99308,Anthony Patriarco,7,7,980.0,1.0,140.0
99306,Anthony Slonim,30,30,9900.0,1.0,330.0
99305,Anthony Slonim,29,29,7540.0,1.0,260.0
99309,Anthony Slonim,7,7,1295.0,1.0,185.0
99309,Aparna Ranjan,25,25,4625.0,1.0,185.0
99306,Aparna Ranjan,12,12,3960.0,1.0,330.0
99310,Aparna Ranjan,5,5,1350.0,1.0,270.0
99306,April Ruffin,9,9,2970.0,1.0,330.0
99305,April Ruffin,4,4,1040.0,1.0,260.0
99309,April Ruffin,2,2,370.0,1.0,185.0
99309,Arlyn Salabao,4,4,740.0,1.0,185.0
99306,Benjamin Davis,67,67,22110.0,1.0,330.0
99305,Benjamin Davis,9,9,2340.0,1.0,260.0
99309,Benjamin Davis,11,11,2035.0,1.0,185.0
99308,Benjamin Davis,13,13,1820.0,1.0,140.0
99310,Benjamin Davis,3,3,810.0,1.0,270.0
99307,Benjamin Davis,7,7,630.0,1.0,90.0
99316,Benjamin Davis,2,2,420.0,1.0,210.0
99315,Benjamin Davis,2,2,290.0,1.0,145.0
99497,Benjamin Davis,1,1,165.0,1.0,165.0
99309,Berna Jean Besana-Mirafuente,246,246,45510.0,1.0,185.0
99308,Berna Jean Besana-Mirafuente,80,80,11200.0,1.0,140.0
