facility_name,total_insurance_payments,total_patient_paid,total_payments
AHOSKIE HEALTH AND REHAB,28414.0,0.0,28414.0
ALAMANCE HEALTH CARE CENTER,44652.72,118.93,44771.65
AMELIA HEALTH AND REHAB,20808.08,0.0,20808.08
Autumn Care of Madison,33605.57,0.0,33605.57
BEDFORD COUNTY NURSING HOME,10802.64,0.0,10802.64
CHASE CITY HEALTH & REHAB CENTER,53011.76,0.0,53011.76
Clayton Rehab and Healthcare Center,31875.9,0.0,31875.9
CONSULATE HEALTH CARE OF WOODSTOCK,1669.61,0.0,1669.61
COURTLAND REHAB AND HEALTHCARE,20087.93,69.8,20157.73
DEER MEADOWS REHABILITATION,30686.24,0.0,30686.24
ELIZABETH CITY HEALTH AND REHAB,62867.7,316.86,63184.56
EMPORIA REHAB AND HEALTHCARE,23827.82,0.0,23827.82
GATES HEALTH AND REHAB,3554.12,0.0,3554.12
GUGGENHEIMER HEALTH AND REHAB,1360.82,60.2,1421.02
GUILFORD HEALTH CARE CENTER,63293.83,0.0,63293.83
HARMONY PARK AT WILSON,25917.32,0.0,25917.32
HERITAGE GREEN,6221.03,0.0,6221.03
HERITAGE HALL OF BLACKSBURG,28202.64,0.0,28202.64
HERTFORD REHABILITATION AND HC,11405.28,0.0,11405.28
HIGHLAND RIDGE REHAB,63470.77,0.0,63470.77
HOLLY MANOR,54423.19,0.0,54423.19
KENANSVILLE REHAB AND HEALTHCARE,15304.41,0.0,15304.41
LAUREL PARK REHAB,15676.46,25.97,15702.43
LEXINGTON HEALTH CARE CENTER,62150.65,140.29,62290.94
LIFE CARE CENTER OF NEW MARKET,59093.54,0.0,59093.54
MOUNTAIN LAUREL,30538.32,0.0,30538.32
NORTHERN NECK-ALF,835.66,0.0,835.66
NORTHERN NECK SENIOR CARE COMMUNITY,22991.38,440.07,23431.45
NOVA HEALTH AND REHAB CENTER,1009.78,0.0,1009.78
OAKWOOD MANOR,-101.77,9.93,-91.84
PEAK RESOURCES OUTER BANKS,18366.14,338.77,18704.91
Piedmont Health and Rehab,15607.97,860.03,16468.0
PINEY FOREST HEALTH AND REHAB,35243.21,0.0,35243.21
PULASKI HEALTH & REHAB,68044.84,195.98,68240.82
RADFORD HEALTH & REHAB,41332.58,282.2,41614.78
RIDGECREST MANOR NURSING AND REHAB,45506.76,0.0,45506.76
RIVERSIDE HEALTH AND REHAB,53919.64,20.0,53939.64
RUNK AND PRATT AT WILLOW RIDGE,1294.33,0.0,1294.33
RUNK & PRATT- FOREST,2326.83,122.59,2449.42
RUNK & PRATT-LEESVILLE,1245.94,0.0,1245.94
RUNK & PRATT- LIBERTY RIDGE,2098.88,0.0,2098.88
RUNK & PRATT- PEARL OF LIFE,3530.11,0.0,3530.11
RUNK & PRATT- SMITH MOUNTAIN LAKE,3383.79,323.29,3707.08
SALEM HEALTH & REHAB,81468.32,0.0,81468.32
SHENANDOAH VALLEY HEALTH,13701.87,31.2,13733.07
STANLEYTOWN HEALTH AND REHAB,65763.52,199.3,65962.82
SUMMIT HEALTH AND REHAB,87734.46,537.12,88271.58
The Rehab Center of Bristol,9510.46,0.0,9510.46
THREE RIVERS HEALTH & REHAB CENTER,12935.14,0.0,12935.14
VALLEY HEALTH CARE CENTER,39795.79,0.0,39795.79
WARSAW HEALTH AND REHAB,6028.35,0.0,6028.35
WATERVIEW HEALTH & REHAB CENTER,36827.24,0.0,36827.24
WAVERLY REHABILITATION,25689.44,0.0,25689.44
WESTMORELAND HEALTHCARE CENTER,32178.9,0.0,32178.9
WILSON HEALTHCARE AND REHAB,18215.84,950.92,19166.76
WINDSOR REHABILITATION,14148.32,0.0,14148.32
WOODLANDS HEALTH & REHAB,6206.55,0.0,6206.55
