facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,28550.0,139,150,1.08,205.4
AHOSKIE HEALTH AND REHAB,MEDICAID,7110.0,38,38,1.0,187.11
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,2705.0,11,13,1.18,245.91
AHOSKIE HEALTH AND REHAB,MEDICARE,12420.0,60,65,1.08,207.0
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,95276.19,475,475,1.0,200.58
ALAMANCE HEALTH CARE CENTER,MEDICAID,9095.0,49,49,1.0,185.61
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,9220.0,47,47,1.0,196.17
ALAMANCE HEALTH CARE CENTER,MEDICARE,19415.0,99,103,1.04,196.11
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,15245.0,93,93,1.0,163.92
AMELIA HEALTH AND REHAB,MEDICAID,185.0,1,1,1.0,185.0
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,9655.0,57,57,1.0,169.39
AMELIA HEALTH AND REHAB,MEDICARE,67315.0,435,436,1.0,154.75
Autumn Care of Madison,COMMERCIAL_HMO,25325.0,177,177,1.0,143.08
Autumn Care of Madison,MEDICAID,140.0,1,1,1.0,140.0
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,11765.0,82,82,1.0,143.48
Autumn Care of Madison,MEDICARE,44960.0,306,306,1.0,146.93
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,6510.0,36,36,1.0,180.83
BEDFORD COUNTY NURSING HOME,MEDICARE,17510.0,90,91,1.01,194.56
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,53510.0,287,288,1.0,186.45
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,3730.0,20,20,1.0,186.5
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,10060.0,55,56,1.02,182.91
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,67565.0,357,359,1.01,189.26
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,41590.0,238,238,1.0,174.75
Clayton Rehab and Healthcare Center,MEDICAID,740.0,4,4,1.0,185.0
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,2500.0,14,14,1.0,178.57
Clayton Rehab and Healthcare Center,MEDICARE,24295.0,139,139,1.0,174.78
CONSULATE HEALTH CARE OF WOODSTOCK,MEDICAID,515.0,2,2,1.0,257.5
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,19155.0,106,110,1.04,180.71
COURTLAND REHAB AND HEALTHCARE,MEDICAID,140.0,1,1,1.0,140.0
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,8330.0,45,47,1.04,185.11
COURTLAND REHAB AND HEALTHCARE,MEDICARE,27065.0,162,163,1.01,167.07
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,42440.0,215,215,1.0,197.4
DEER MEADOWS REHABILITATION,MEDICAID,415.0,2,2,1.0,207.5
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,6230.0,32,32,1.0,194.69
DEER MEADOWS REHABILITATION,MEDICARE,32140.0,169,169,1.0,190.18
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,50810.0,246,257,1.04,206.54
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,3270.0,17,17,1.0,192.35
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,3670.0,18,19,1.06,203.89
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,84270.0,420,435,1.04,200.64
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,24450.0,125,125,1.0,195.6
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,4605.0,24,24,1.0,191.88
EMPORIA REHAB AND HEALTHCARE,MEDICARE,13665.0,66,66,1.0,207.05
GATES HEALTH AND REHAB,COMMERCIAL_HMO,5990.0,30,31,1.03,199.67
GATES HEALTH AND REHAB,MEDICAID,1480.0,8,8,1.0,185.0
GATES HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,185.0,1,1,1.0,185.0
GATES HEALTH AND REHAB,MEDICARE,3200.0,15,15,1.0,213.33
GUGGENHEIMER HEALTH AND REHAB,COMMERCIAL_HMO,325.0,2,2,1.0,162.5
GUGGENHEIMER HEALTH AND REHAB,MEDICARE,465.0,3,3,1.0,155.0
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,94740.0,445,446,1.0,212.9
GUILFORD HEALTH CARE CENTER,MEDICAID,4935.0,26,26,1.0,189.81
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,16180.0,78,78,1.0,207.44
GUILFORD HEALTH CARE CENTER,MEDICARE,47090.0,233,233,1.0,202.1
HARMONY PARK AT WILSON,COMMERCIAL_HMO,38380.0,219,219,1.0,175.25
HARMONY PARK AT WILSON,MEDICAID,3455.0,19,19,1.0,181.84
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,6165.0,34,34,1.0,181.32
HARMONY PARK AT WILSON,MEDICARE,12920.0,74,74,1.0,174.59
HERITAGE GREEN,COMMERCIAL_HMO,5070.0,24,26,1.08,211.25
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,1020.0,4,4,1.0,255.0
HERITAGE GREEN,MEDICARE,11280.0,52,54,1.04,216.92
HERITAGE HALL OF BLACKSBURG,COMMERCIAL_HMO,23365.0,122,122,1.0,191.52
HERITAGE HALL OF BLACKSBURG,MEDICARE,25347.5,139,140,1.01,182.36
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,19940.0,98,98,1.0,203.47
HERTFORD REHABILITATION AND HC,MEDICAID,7800.0,41,41,1.0,190.24
HERTFORD REHABILITATION AND HC,BLUE_CROSS_BLUE_SHIELD,555.0,3,3,1.0,185.0
HERTFORD REHABILITATION AND HC,MEDICARE,13255.0,66,66,1.0,200.83
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,70695.0,374,376,1.01,189.02
HIGHLAND RIDGE REHAB,MEDICAID,1235.0,6,6,1.0,205.83
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,28080.0,146,147,1.01,192.33
HIGHLAND RIDGE REHAB,MEDICARE,65365.0,359,359,1.0,182.08
HOLLY MANOR,COMMERCIAL_HMO,36410.0,192,192,1.0,189.64
HOLLY MANOR,BLUE_CROSS_BLUE_SHIELD,24585.0,128,128,1.0,192.07
HOLLY MANOR,MEDICARE,60710.0,312,313,1.0,194.58
HOLLY MANOR,TRICARE_CHAMPUS,185.0,1,1,1.0,185.0
KENANSVILLE REHAB AND HEALTHCARE,COMMERCIAL_HMO,14645.0,78,78,1.0,187.76
KENANSVILLE REHAB AND HEALTHCARE,MEDICAID,11755.0,65,65,1.0,180.85
KENANSVILLE REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,1665.0,9,9,1.0,185.0
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,10255.0,57,57,1.0,179.91
LAUREL PARK REHAB,COMMERCIAL_HMO,12420.0,50,61,1.22,248.4
LAUREL PARK REHAB,MEDICAID,8280.0,44,45,1.02,188.18
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,1940.0,9,10,1.11,215.56
LAUREL PARK REHAB,MEDICARE,17130.0,87,89,1.02,196.9
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,82050.0,425,425,1.0,193.06
LEXINGTON HEALTH CARE CENTER,MEDICAID,1850.0,10,10,1.0,185.0
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,18615.0,94,94,1.0,198.03
LEXINGTON HEALTH CARE CENTER,MEDICARE,37270.0,194,194,1.0,192.11
LIFE CARE CENTER OF NEW MARKET,COMMERCIAL_HMO,39085.07,196,203,1.04,199.41
LIFE CARE CENTER OF NEW MARKET,MEDICAID,455.0,2,2,1.0,227.5
LIFE CARE CENTER OF NEW MARKET,BLUE_CROSS_BLUE_SHIELD,14735.03,72,76,1.06,204.65
LIFE CARE CENTER OF NEW MARKET,MEDICARE,64440.19,324,345,1.06,198.89
MOUNTAIN LAUREL,COMMERCIAL_HMO,53805.0,283,283,1.0,190.12
MOUNTAIN LAUREL,MEDICAID,140.0,1,1,1.0,140.0
MOUNTAIN LAUREL,BLUE_CROSS_BLUE_SHIELD,7980.0,41,41,1.0,194.63
MOUNTAIN LAUREL,MEDICARE,15170.0,78,78,1.0,194.49
NORTHERN NECK-ALF,MEDICARE,1630.0,7,7,1.0,232.86
NORTHERN NECK SENIOR CARE COMMUNITY,COMMERCIAL_HMO,17695.0,86,87,1.01,205.76
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICAID,325.0,2,2,1.0,162.5
NORTHERN NECK SENIOR CARE COMMUNITY,BLUE_CROSS_BLUE_SHIELD,12505.0,61,61,1.0,205.0
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICARE,22060.0,112,112,1.0,196.96
NOVA HEALTH AND REHAB CENTER,COMMERCIAL_HMO,2695.0,13,13,1.0,207.31
OAKWOOD MANOR,COMMERCIAL_HMO,515.0,2,2,1.0,257.5
OAKWOOD MANOR,MEDICAID,185.0,1,1,1.0,185.0
OAKWOOD MANOR,BLUE_CROSS_BLUE_SHIELD,520.0,2,2,1.0,260.0
OAKWOOD MANOR,MEDICARE,420.0,3,3,1.0,140.0
