facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,2865.0,14,14,1.0,204.64
AHOSKIE HEALTH AND REHAB,MEDICAID,1620.0,9,9,1.0,180.0
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,185.0,1,1,1.0,185.0
AHOSKIE HEALTH AND REHAB,MEDICARE,2715.0,14,14,1.0,193.93
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,27620.0,143,143,1.0,193.15
ALAMANCE HEALTH CARE CENTER,MEDICAID,5075.0,27,27,1.0,187.96
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,3730.0,19,19,1.0,196.32
ALAMANCE HEALTH CARE CENTER,MEDICARE,11245.0,56,57,1.02,200.8
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,6115.0,34,34,1.0,179.85
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,1645.0,9,9,1.0,182.78
AMELIA HEALTH AND REHAB,MEDICARE,15800.0,94,94,1.0,168.09
Autumn Care of Madison,COMMERCIAL_HMO,5730.0,46,46,1.0,124.57
Autumn Care of Madison,MEDICAID,280.0,2,2,1.0,140.0
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,3695.0,29,29,1.0,127.41
Autumn Care of Madison,MEDICARE,12355.0,98,98,1.0,126.07
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,790.0,5,5,1.0,158.0
BEDFORD COUNTY NURSING HOME,MEDICARE,1730.0,9,9,1.0,192.22
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,13245.0,74,74,1.0,178.99
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,4315.0,24,24,1.0,179.79
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,5100.0,29,29,1.0,175.86
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,13335.0,69,69,1.0,193.26
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,16115.0,91,91,1.0,177.09
Clayton Rehab and Healthcare Center,MEDICAID,740.0,4,4,1.0,185.0
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,780.0,4,4,1.0,195.0
Clayton Rehab and Healthcare Center,MEDICARE,6150.0,35,36,1.03,175.71
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,4020.0,22,24,1.09,182.73
COURTLAND REHAB AND HEALTHCARE,MEDICAID,185.0,1,1,1.0,185.0
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,2580.0,15,15,1.0,172.0
COURTLAND REHAB AND HEALTHCARE,MEDICARE,9440.0,51,55,1.08,185.1
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,9440.0,50,50,1.0,188.8
DEER MEADOWS REHABILITATION,MEDICAID,510.0,3,3,1.0,170.0
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,1550.0,7,7,1.0,221.43
DEER MEADOWS REHABILITATION,MEDICARE,6130.0,33,33,1.0,185.76
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,16930.0,79,84,1.06,214.3
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,370.0,2,2,1.0,185.0
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,1010.0,5,5,1.0,202.0
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,28875.0,144,147,1.02,200.52
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,4455.0,26,26,1.0,171.35
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,880.0,5,5,1.0,176.0
EMPORIA REHAB AND HEALTHCARE,MEDICARE,6390.0,35,36,1.03,182.57
GATES HEALTH AND REHAB,MEDICARE,640.0,3,3,1.0,213.33
GUGGENHEIMER HEALTH AND REHAB,MEDICARE,790.0,5,5,1.0,158.0
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,26470.0,128,129,1.01,206.8
GUILFORD HEALTH CARE CENTER,MEDICAID,3100.0,14,14,1.0,221.43
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,3215.0,16,16,1.0,200.94
GUILFORD HEALTH CARE CENTER,MEDICARE,13115.0,63,64,1.02,208.17
HARMONY PARK AT WILSON,COMMERCIAL_HMO,7745.0,42,42,1.0,184.4
HARMONY PARK AT WILSON,MEDICAID,1335.0,7,7,1.0,190.71
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,140.0,1,1,1.0,140.0
HARMONY PARK AT WILSON,MEDICARE,3745.0,22,22,1.0,170.23
HERITAGE GREEN,COMMERCIAL_HMO,1555.0,11,12,1.09,141.36
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,730.0,5,5,1.0,146.0
HERITAGE GREEN,MEDICARE,5310.0,32,33,1.03,165.94
HERITAGE HALL OF BLACKSBURG,COMMERCIAL_HMO,8205.0,42,42,1.0,195.36
HERITAGE HALL OF BLACKSBURG,MEDICAID,270.0,1,1,1.0,270.0
HERITAGE HALL OF BLACKSBURG,MEDICARE,11390.0,63,63,1.0,180.79
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,1135.0,5,5,1.0,227.0
HERTFORD REHABILITATION AND HC,MEDICARE,1235.0,6,6,1.0,205.83
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,6495.0,37,37,1.0,175.54
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,3185.0,19,19,1.0,167.63
HIGHLAND RIDGE REHAB,MEDICARE,7870.0,45,45,1.0,174.89
