facility_name,total_insurance_payments,total_patient_paid,total_payments
PEAK RESOURCES OUTER BANKS,5526.77,0.0,5526.77
STANLEYTOWN HEALTH AND REHAB,18672.77,51.8,18724.57
SALEM HEALTH & REHAB,20524.51,0.0,20524.51
PINEY FOREST HEALTH AND REHAB,8884.04,0.0,8884.04
OAKWOOD MANOR,537.19,12.04,549.23
RUNK & PRATT- FOREST,543.67,0.0,543.67
AHOSKIE HEALTH AND REHAB,4258.35,53.09,4311.44
MOUNTAIN LAUREL,7586.23,0.0,7586.23
KENANSVILLE REHAB AND HEALTHCARE,2712.57,0.0,2712.57
NORTHERN NECK SENIOR CARE COMMUNITY,5726.51,0.0,5726.51
RUNK & PRATT- PEARL OF LIFE,881.22,0.0,881.22
The Rehab Center of Bristol,8752.7,0.0,8752.7
NORTHERN NECK-ALF,394.92,0.0,394.92
WOODLANDS HEALTH & REHAB,3815.78,0.0,3815.78
ELIZABETH CITY HEALTH AND REHAB,12628.73,0.0,12628.73
RUNK & PRATT-LEESVILLE,822.42,0.0,822.42
WINDSOR REHABILITATION,1792.28,0.0,1792.28
COURTLAND REHAB AND HEALTHCARE,6035.34,0.0,6035.34
HARMONY PARK AT WILSON,6867.79,0.0,6867.79
HOLLY MANOR,15606.27,0.0,15606.27
HERITAGE HALL OF BLACKSBURG,7946.79,0.0,7946.79
CONSULATE HEALTH CARE OF WOODSTOCK,851.25,0.0,851.25
RIDGECREST MANOR NURSING AND REHAB,12903.4,0.0,12903.4
RADFORD HEALTH & REHAB,9031.8,0.0,9031.8
WESTMORELAND HEALTHCARE CENTER,5339.24,0.0,5339.24
RUNK & PRATT- SMITH MOUNTAIN LAKE,372.46,0.0,372.46
PULASKI HEALTH & REHAB,14223.53,70.0,14293.53
NOVA HEALTH AND REHAB CENTER,463.56,0.0,463.56
HIGHLAND RIDGE REHAB,14587.04,0.0,14587.04
LAUREL PARK REHAB,3968.15,16.99,3985.14
HERITAGE GREEN,846.46,0.0,846.46
WATERVIEW HEALTH & REHAB CENTER,11339.43,24.86,11364.29
RUNK AND PRATT AT WILLOW RIDGE,158.09,0.0,158.09
Autumn Care of Madison,7838.63,0.0,7838.63
EMPORIA REHAB AND HEALTHCARE,4409.8,0.0,4409.8
CHASE CITY HEALTH & REHAB CENTER,14479.86,0.0,14479.86
WAVERLY REHABILITATION,6623.07,0.0,6623.07
AMELIA HEALTH AND REHAB,7235.96,0.0,7235.96
SHENANDOAH VALLEY HEALTH,4345.81,0.0,4345.81
GUGGENHEIMER HEALTH AND REHAB,105.04,0.0,105.04
Piedmont Health and Rehab,3847.5,0.0,3847.5
BEDFORD COUNTY NURSING HOME,2321.43,52.35,2373.78
LIFE CARE CENTER OF NEW MARKET,8599.0,0.0,8599.0
GATES HEALTH AND REHAB,191.43,0.0,191.43
HERTFORD REHABILITATION AND HC,3775.96,12.78,3788.74
ALAMANCE HEALTH CARE CENTER,16947.4,0.0,16947.4
SUMMIT HEALTH AND REHAB,6854.99,0.0,6854.99
GUILFORD HEALTH CARE CENTER,17606.82,0.0,17606.82
WARSAW HEALTH AND REHAB,955.67,0.0,955.67
RIVERSIDE HEALTH AND REHAB,17072.16,0.0,17072.16
THREE RIVERS HEALTH & REHAB CENTER,2484.63,61.52,2546.15
WILSON HEALTHCARE AND REHAB,3908.43,0.0,3908.43
Clayton Rehab and Healthcare Center,8303.29,143.55,8446.84
DEER MEADOWS REHABILITATION,6438.11,0.0,6438.11
RUNK & PRATT- LIBERTY RIDGE,1743.07,0.0,1743.07
VALLEY HEALTH CARE CENTER,10030.87,0.0,10030.87
LEXINGTON HEALTH CARE CENTER,17964.61,20.91,17985.52
