facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,20920.0,105,107,1.02,199.24
AHOSKIE HEALTH AND REHAB,MEDICAID,4395.0,24,24,1.0,183.13
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,555.0,3,3,1.0,185.0
AHOSKIE HEALTH AND REHAB,MEDICARE,10165.0,50,53,1.06,203.3
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,75430.0,386,388,1.01,195.41
ALAMANCE HEALTH CARE CENTER,MEDICAID,9640.0,48,48,1.0,200.83
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,8815.0,44,44,1.0,200.34
ALAMANCE HEALTH CARE CENTER,MEDICARE,30480.0,152,152,1.0,200.53
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,7080.0,42,44,1.05,168.57
AMELIA HEALTH AND REHAB,MEDICAID,1285.0,10,10,1.0,128.5
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,12290.0,75,76,1.01,163.87
AMELIA HEALTH AND REHAB,MEDICARE,17310.0,108,109,1.01,160.28
AMELIA HEALTH AND REHAB,WORKERS_COMPENSATION,140.0,1,1,1.0,140.0
Autumn Care of Madison,COMMERCIAL_HMO,5310.01,26,27,1.04,204.23
Autumn Care of Madison,MEDICAID,695.01,4,5,1.25,173.75
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,3965.0,19,20,1.05,208.68
Autumn Care of Madison,MEDICARE,7965.02,40,42,1.05,199.13
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,10420.0,51,52,1.02,204.31
BEDFORD COUNTY NURSING HOME,MEDICAID,2800.0,14,14,1.0,200.0
BEDFORD COUNTY NURSING HOME,BLUE_CROSS_BLUE_SHIELD,185.0,1,1,1.0,185.0
BEDFORD COUNTY NURSING HOME,MEDICARE,8180.0,39,39,1.0,209.74
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,80145.0,383,460,1.2,209.26
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,395.0,2,2,1.0,197.5
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,34930.0,171,194,1.13,204.27
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,35980.0,196,203,1.04,183.57
CHASE CITY HEALTH & REHAB CENTER,WORKERS_COMPENSATION,1610.0,9,10,1.11,178.89
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,33390.0,156,157,1.01,214.04
Clayton Rehab and Healthcare Center,MEDICAID,8685.0,42,42,1.0,206.79
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,8160.0,37,37,1.0,220.54
